Sample;Density;ModulusOfElasticity
Teijin Tenax J HTS40 E13 3K 200tex Poly-acrylonitrile Carbon Fiber;1.77;230.0
Teijin Tenax J HTS40 A23 12K 1420tex MC Nickel-Coated, high strength carbon fiber;2.7;230.0
Teijin Tenax J UTS50 E13 12K 800tex Poly-acrylonitrile Carbon Fiber;1.78;245.0
Teijin Tenax E UTS50 F24 24K 1600tex DCP Poly-acrylonitrile Carbon Fiber;1.78;235.0
Teijin Tenax J IMS60 E13 24K 830tex Poly-acrylonitrile Carbon Fiber;1.79;290.0
Teijin Tenax E IMS65 E23 24K 830tex Poly-acrylonitrile Carbon Fiber;1.78;290.0
Teijin Tenax A IM P303 3mm Chopped carbon fiber;1.79;275.0
Teijin Tenax E ITS50 F23 24K 1600tex D Poly-acrylonitrile Carbon Fiber;1.8;255.0
Teijin Tenax A HT P722 3mm Chopped carbon fiber;1.79;232.0
Teijin Tenax A HT P303 3mm Chopped carbon fiber;1.74;220.0
Solvay Thornel T-300 1K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.76;231.0
Solvay Thornel T-650/35 3K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.77;241.0
Solvay Thornel T-650/35 12K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.7;248.0
Solvay Thornel P-25 2K Carbon Fiber, Pitch Precursor;1.9;160.0
Toho Tenax Besfight MC Type I (3000 Filament) Nickel Coated Carbon Fiber;2.7;226.0
Toho Tenax Besfight MC Type II (3000 Filament) Nickel Coated Carbon Fiber;3.4;216.0
Toho Tenax Besfight STS 24K HTA-7C F301 Continuous Filament Carbon Fiber;1.75;240.0
Toho Tenax Besfight G30-400 1K HTA-7W EP01 Continuous Filament Carbon Fiber;1.78;234.0
Toho Tenax Besfight G30-500 3K HTA-7C EP03 Continuous Filament Carbon Fiber;1.75;234.0
Toho Tenax Besfight G30-500 12K HTA-7C EP01 Continuous Filament Carbon Fiber;1.76;234.0
Toho Tenax Besfight G30-500 12K HTA-7S F202 Continuous Filament Carbon Fiber;1.75;239.0
Toho Tenax Besfight G30-700 12K HTA-7C EP03 Continuous Filament Carbon Fiber;1.78;241.0
Toho Tenax Besfight G40-600 12K IMA-7C EP03 Continuous Filament Carbon Fiber;1.74;290.0
Toho Tenax Besfight G40-800 6K IMA-5C EP03 Continuous Filament Carbon Fiber;1.79;286.0
Toho Tenax Besfight G50-300 12K HMA-7C EP01 Continuous Filament Carbon Fiber;1.78;359.0
Toho Tenax Besfight G55-700 24K HMA-5C A303 Continuous Filament Carbon Fiber;1.8;393.0
Toho Tenax Besfight G60-600 12K UMA-5C A303 Continuous Filament Carbon Fiber;1.82;427.0
Toho Tenax Besfight G80-600 12K UMA-5C F301 Continuous Filament Carbon Fiber;1.92;538.0
Toray T300 Carbon Fiber;1.76;230.0
Toray T700S Carbon Fiber;1.8;230.0
Toray T800H Carbon Fiber;1.81;294.0
Toray T800S Carbon Fiber;1.8;294.0
Toray M35J Carbon Fiber;1.75;343.0
Toray M40J Carbon Fiber;1.77;377.0
Toray M46J Carbon Fiber;1.84;436.0
Toray M55J Carbon Fiber;1.91;540.0
Toray M60J Carbon Fiber;1.93;588.0
Solvay THORNEL GPC-10 Pitch-Based Fiber;1.9;138.0
Solvay THORNEL T-650/35 Pan-Based Fiber;1.77;255.0
Toray T1100G Carbon Fiber;1.79;324.0
Diamond, Natural;3.51;950.0
Diamond, Synthetic;3.36;862.5
Diamond, Polycrystalline;3.5;851.0
Graphite, Carbon, C;2.25;4.8
Pyrolytic Graphite, Low Temperature Isotropic (LTI);1.65;22.5
Momentive Performance Materials Pyrolytic Graphite (PG) Coating;2.2;20.0
Pyrotek ISOFLOW Graphite Rings Graphite Rings for Billet Casting Molds;1.73;10.85
SGL Carbon Group EK 10 Carbon Graphite;1.66;15.9
SGL Carbon Group EK 17 Carbon Graphite;1.66;30.3
SGL Carbon Group EK 20 Carbon Graphite;1.7;22.1
SGL Carbon Group EK 2200 Carbon Graphite;1.82;26.9
SGL Carbon Group EK 2203 Carbon Graphite;1.8;24.8
SGL Carbon Group EK 2209 Carbon Graphite;1.77;26.2
SGL Carbon Group EK 3205 Carbon Graphite;2.25;30.3
SGL Carbon Group EK 2230 Carbon Graphite;1.85;22.1
SGL Carbon Group EK 2239 Carbon Graphite;1.8;20.0
SGL Carbon Group EK 3235 Carbon Graphite;2.6;30.3
SGL Carbon Group EK 24 Carbon Graphite;1.7;17.9
SGL Carbon Group EK 2240 Carbon Graphite;1.81;19.3
SGL Carbon Group EK 2243 Carbon Graphite;1.79;17.9
SGL Carbon Group EK 3245 Carbon Graphite;2.2;24.1
SGL Carbon Group EK 40 Graphite;1.68;8.96
SGL Carbon Group EK 200 Graphite;1.82;13.8
SGL Carbon Group EK 203 Graphite;1.8;11.7
SGL Carbon Group EK 204 Graphite;1.78;13.1
SGL Carbon Group EK 305 Graphite;2.55;20.7
SGL Carbon Group V 1626 Graphite;1.85;13.8
Barium Boride, BaB6;4.35;385.0
Calcium Boride, CaB6;2.43;451.0
Cerium Boride, CeB6;4.79;379.0
CoorsTek Cercom PAD TIB2 Pressure Assisted Densification Titanium Diboride;4.48;555.0
3M Techical Ceramics Titanium Diboride;4.5;575.0
Goodfellow Titanium Diboride, TiB2;4.5;545.0
Chromium Carbide, Cr3C2;6.67;379.5
Hafnium Carbide, HfC;12.5;352.0
Molybdenum Carbide, Mo2C;8.69;390.0
Niobium Carbide, NbC;7.71;433.5
Silicon Carbide, CVD;3.1;420.0
Silicon Carbide, Alpha SiC;3.16;410.0
Silicon Carbide, sublimed;3.19;467.5
Silicon Carbide, Reaction-Bonded, SiSiC;3.0;375.0
Tantalum Carbide, TaC;14.3;481.5
Titanium Carbide, TiC;4.94;449.5
Vanadium Carbide, VC;5.71;344.0
Tungsten Carbide, W2C;14.8;420.0
Tungsten Carbide, WC;15.7;682.5
Zirconium Carbide, ZrC;6.64;375.5
ERG Aerospace Duocel Silicon Carbide Foam;0.27;4.82
CeramTec CD 110 Silicon Carbide, SSiC;3.1;415.0
CeramTec Rocar SiG Silicon Carbide, SiSiC;3.07;380.0
CeramTec Rocar ST Silicon Carbide, SSiC;3.11;420.0
CeramTec CD 101 Silicon Carbide, SiC-ZrB2;3.26;415.0
CeramTec Rocar S Silicon Carbide, SSiC;3.15;430.0
CeramTec Rocar SiF Silicon Carbide, SiSiC;3.07;395.0
COI Ceramics Nicalon™ CG SiCO Ceramic Fiber;2.55;210.0
COI Ceramics Nicalon™ HRV SiCO Ceramic Fiber;2.32;180.0
COI Ceramics Nicalon™ HI SiC Low O Ceramic Fiber;2.74;270.0
COI Ceramics Sylramic™ Crystalline Silicon Carbide (SiC) Fiber;3.03;365.0
CoorsTek HPB4C Hot Pressed Boron Carbide;2.5;460.0
CoorsTek UltraSiC™ SC-90 Plus Silicon Carbide (SiC);3.15;410.0
CoorsTek UltraSiC™ LP SC-52 Silicon Carbide (SiC);3.22;375.0
CoorsTek SN102 Sinter-HIP Silicon Nitride;3.23;290.0
CoorsTek CeraSiC -B Direct Sintered Silicon Carbide;3.01;420.0
CoorsTek UltraSiC™ GI (SC-35) Graphite Direct Sintered Silicon Carbide;2.9;310.0
CoorsTek Cercom PAD B4C Pressure Assisted Densification Boron Carbide;2.49;430.0
CoorsTek Cercom PAD SIC-B4C Pressure Assisted Densification SiC with Boron Carbide;3.05;450.0
CoorsTek Cercom PAD SIC-N Pressure Assisted Densification Silicon Carbide;3.2;460.0
CoorsTek Cercom PAD SIC X-1 Pressure Assisted Densification BallisticGrade Silicon Carbide;3.23;455.0
CoorsTek Cercom PAD B4C-SIC Pressure Assisted Densification Boron Carbide w/ Silicon Carbide;2.63;455.0
CoorsTek ACI-Ni6 Tungsten Carbide;14.9;607.0
CoorsTek ACI-Ni10 Tungsten Carbide;14.4;572.0
CoorsTek ACI-Co6 Tungsten Carbide;14.9;627.0
CoorsTek ACI-Co10 Tungsten Carbide;14.5;593.0
CoorsTek RB B4C Reaction-Bonded Boron Carbide;2.65;379.0
3M Techical Ceramics Ekasic C Silicone Carbide;3.15;440.0
3M Techical Ceramics Ekasic T Silicone Carbide;3.21;420.0
3M Techical Ceramics Boron Carbide Powder;2.48;420.0
3M Techical Ceramics Ekasic F Plus Silicon Carbide;3.18;430.0
3M Techical Ceramics Ekasic P Silicon Carbide;2.83;340.0
3M Techical Ceramics Ekasic G Silicon Carbide;3.02;390.0
3M Techical Ceramics Ekasic T Plus Silicon Carbide;3.24;430.0
3M Techical Ceramics Ekasic S Silicon Nitride;3.24;300.0
3M Techical Ceramics MYCROSINT HD Boron Nitride;1.96;23.0
3M Techical Ceramics MYCROSINT S Boron Nitride;2.07;32.5
3M Techical Ceramics MYCROSINT CD Boron Nitride;1.97;27.5
3M Techical Ceramics MYCROSINT SO 20 Boron Nitride;2.3;27.5
3M Techical Ceramics MYCROSINT SO 43 Boron Nitride;2.92;37.5
3M Techical Ceramics MYCROSINT O 40 Boron Nitride;2.82;35.0
Goodfellow Tungsten Carbide/Cobalt;14.9;600.0
Goodfellow Hot Pressed Boron Carbide B4C;2.49;455.0
Goodfellow Hot Pressed Silicon Carbide SiC;3.15;350.0
Goodfellow Reaction Bonded Silicon Carbide SiC;3.1;410.0
Poco Graphite SUPERSiC 3C Silicon Carbide;3.15;216.0
Poco Graphite SUPERSiC Si-3C Silicon Carbide;3.03;338.0
Pyrotek Pinnacle Thermocouple Protection Tubes O'-Sialon (Bonded Silicon Carbide) TCPT;2.6;0.078
Schunk CarSIK NT Silicon Carbide;3.09;360.0
Schunk CarSIK CT Silicon Carbide;2.9;260.0
Schunk CarSIK SD Silicon Carbide;3.1;400.0
Thermal Transfer Composites PRIMEX™ MCX-693™ Aluminum Silicon Carbide Composite, Reinforced;2.98;255.0
Thermal Transfer Composites PRIMEX™ MCX-703™ Aluminum Silicon Carbide Composite, Reinforced;3.0;240.0
Thermal Transfer Composites PRIMEX™ MCX724™ Aluminum Silicon Carbide Composite, Reinforced;2.94;235.0
Thermal Transfer Composites PRIMEX ULTRA™ MCT-587™ Aluminum Silicon Carbide Composite, Reinforced;3.01;270.0
Thermal Transfer Composites PRIMEX Cast™ MCX-1195™ Aluminum Silicon Carbide Composite, Reinforced;2.87;151.0
Thermal Transfer Composites PRIMEX Cast™ MCX-1405™ Aluminum Silicon Carbide Composite, Reinforced;2.8;125.0
Thermal Transfer Composites PRIMEX Cast™ MCX-1605™ Aluminum Silicon Carbide Composite, Reinforced;2.77;106.0
CoorsTek Reaction Bonded Silicon Carbide, SCRB (SC-2);3.1;393.0
CoorsTek SC-DSG (SC-35) Graphite Loaded Sintered Silicon Carbide;2.8;310.0
CoorsTek SC-BNL (SC-42) Loaded Reaction Bonded Silicon Carbide;2.9;150.0
CoorsTek Pure SiC™ HR CVD Silicon Carbide, > 99.9995%;3.21;462.0
CoorsTek Pure SiC™ LR CVD Silicon Carbide, > 99.9995%;3.21;434.0
Specialty Materials SCS-6 Silicon Carbide Monofilament;3.0;380.0
Specialty Materials SCS-Ultra™ Silicon Carbide Fiber;3.08;415.0
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;3.02;330.0
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;3.0;330.0
M Cubed Technologies SSC-702 Reaction-Bonded Silicon Carbide;3.0;350.0
M Cubed Technologies SSC-903 Reaction-Bonded Silicon Carbide;3.01;360.0
M Cubed Technologies TSC-15 Titanium-alloyed Reaction Bonded Silicon Carbide;3.13;390.0
M Cubed Technologies RBBC-751 Reaction Bonded Boron Carbide;2.56;380.0
M Cubed Technologies ABC-501 Aluminum alloy-50% B4C Metal Matrix Composite;2.58;210.0
Solvay EF1812 Polycarbosilane Polymer, Pyrolized with T300 Carbon Fabric;2.0;26.4
Glass Fiber Reinforced Concrete;1.9;15.5
Concrete, Ceramic Dry;2.3;25.5
Concrete, Cinder;1.6;30.0
Concrete, Lightweight;0.95;30.0
Concrete, Heavyweight;5.25;30.0
Portland Cement;2.01;11.2
Portland Cement with Untreated Silica Fume;1.72;10.2
Portland Cement with Treated Silica Fume;1.73;11.5
Portland Cement with Untreated Silica Fume and Silane;1.97;10.9
Accuratus MACOR Machinable Glass Ceramic;2.52;66.9
Advanced Ceramics ACL 2088 Zinc Alumino-Silicate;3.1;84.0
Advanced Ceramics ZEMAT ACL 2090 - Zero Expansion Glass-Ceramic;2.53;89.6
Advanced Ceramics ACL 2087 Lithium Alumino-Silicate;2.4;82.7
Corning Pyroceram Code 9606 Glass Ceramic;2.6;120.0
Mateck Glass (BK7 Schott or analogous);2.51;81.0
Mateck Zero Expansion Glass - ZERODUR;2.53;91.0
Morgan Advanced Ceramics MACOR Mac-MGCW Technical Ceramic;2.52;68.0
Crystex Composites Mykroy/Mycalex MM 400 Machining Grade Glass-bonded Mica Composite;2.6;75.8
Crystex Composites Mykroy/Mycalex MM 500 Machining Grade Glass-bonded Mica Composite;2.7;82.7
Crystex Composites Mykroy/Mycalex MM 600 Machining Grade Glass-bonded Mica Composite;2.8;73.1
Crystex Composites Mykroy/Mycalex MM 800 Machining Grade Glass-bonded Mica Composite;2.74;79.3
Crystex Composites Mykroy/Mycalex MM 561 Molding Grade Glass-bonded Mica Composite;2.6;77.9
712-3 Nextrema Tinted Glass Ceramic/SCHOTT;2.55;92.0
712-6 Nextrema Translucent Blue-Grey Glass Ceramic/SCHOTT;2.51;86.0
712-8 Nextrema Opaque Grey Glass Ceramic/SCHOTT;2.52;84.0
724-3 Nextrema Transparent Glass Ceramic/SCHOTT;2.54;93.0
724-5 Nextrema Translucent White Glass Ceramic/SCHOTT;2.5;85.0
724-8 Nextrema Opaque White Glass Ceramic/SCHOTT;2.54;86.0
A-Glass Fiber, Generic;2.44;68.9
C-Glass Fiber, Generic;2.54;68.9
D-Glass Fiber, Generic;2.11;51.7
E-Glass Fiber, Generic;2.57;72.4
S-2 Glass Fiber;2.46;86.9
S-Glass Fiber, Generic;2.49;86.2
AR-Glass Fiber, Generic;2.7;73.1
E-CRGlas Fiber;2.72;72.3
R-Glass Fiber, Generic;2.54;85.5
Fiberglass Grade B;2.49;69.0
AGY ADVANTEX Generic Glass Fiber;2.62;80.0
AGY VeTron Glass Fiber;2.5;86.0
Saint-Gobain Quartzel Fused Quartz Textiles;2.2;78.0
Corning 7056 Alkali Borosilicate Crushed/Powdered Glass;2.29;62.8
Corning HPFS 7979 IR Grade High Purity Fused Silica;2.2;73.0
Corning 9754 Clear Germanate IR Transmitting Glass;3.51;84.0
Corning Gorilla Glass 3 Touch Screen Glass with NDR;2.39;69.3
Corning Gorilla Glass 5 Display Glass;2.43;76.7
Corning Gorilla Glass 6 Display Glass;2.4;77.0
Corning Large Cover Gorilla Glass Touch Screen Glass;2.44;71.7
Corning Polarcor™ Glass Polarizer, 633 nm Nominal Wavelength;2.41;58.6
Corning TSG Titania Silicate Low Expansion Glass;2.21;67.6
Corning Iris™ Display Glass;2.4;68.0
Corning Lotus™ NXT Display Glass;2.59;83.0
Corning Astra™ Alkaline Earth Boro-Aluminosilicate Display Glass;2.52;81.0
Corning Eagle XG Slim Display Glass;2.38;73.6
Corning Willow Flexible Display Glass;2.4;75.0
Goodfellow Vycor 7913 Glass;2.18;70.0
Schott AF 45 Thin Borosilicate Glass;2.72;66.0
Schott BOROFLOAT Borosilicate Float Glass;2.23;63.0
Schott D 263 Thin Borosilicate Glass;2.51;72.9
Schott BAFN6 5899485.317, Optical Glass;3.17;77.0
Schott BK7G18 520636.252, Optical Glass;2.52;82.0
Schott F2G12 621366.360, Optical Glass;3.6;58.0
Schott FK3 464658.227, Optical Glass;2.27;46.0
Schott K5G20 523568.259, Optical Glass;2.59;68.0
Schott LAK9G15 691548.353, Optical Glass;3.53;108.0
Schott LF5G15 584408.322, Optical Glass;3.22;60.0
Schott LF5G19 597399.330, Optical Glass;3.3;56.0
Schott N-BAF3 583466.297, Optical Glass;2.79;82.0
Schott N-LAF3 717480.414, Optical Glass;4.14;95.0
Schott N-PSK53 620635.360, Optical Glass;3.6;78.0
Schott N-SF19 667331.290, Optical Glass;2.9;88.0
Schott N-SF56 785261.328, Optical Glass;3.28;91.0
Schott N-SF64 706302.299, Optical Glass;2.99;88.0
Schott N-SK10 623570.364, Optical Glass;3.64;81.0
Schott N-SK15 623580.362, Optical Glass;3.62;84.0
Schott SF57HT 847238.551, Optical Glass;5.51;54.0
Schott SFL6 805254.337, Optical Glass;3.37;93.0
Schott SFL57 847236.355, Optical Glass;3.55;97.0
Schott FK5HTi 487705.245, Glass;2.45;62.0
Schott N-FK58 456909.365, Optical Glass;3.65;70.0
Schott N-BK7HT 517642.251, Optical Glass;2.51;82.0
Schott P-BK7 516641.243, Optical Glass;2.43;85.0
Schott N-BAK4HT 569560.305, Optical Glass;3.05;77.0
Schott N-SK2HT 607567.355, Optical Glass;3.55;78.0
Schott P-SK57Q1 586595.301, Optical Glass;3.01;93.0
Schott P-SK58A 589612.297, Optical Glass;2.97;97.0
Schott P-SK60 610579.308, Optical Glass;3.08;99.0
Schott N-LAK33B 755523.422, Optical Glass;4.22;122.0
Schott P-LAK35 693532.385, Optical Glass;3.85;101.0
Schott LLF1HTi 548459.294, Optical Glass;2.94;60.0
Schott LF5HTi 581409.322, Optical Glass;3.22;59.0
Schott P-LAF37 755457.399, Optical Glass;3.99;115.0
Schott LASF35 022291.541, Optical Glass;5.41;132.0
Schott N-LASF9HT 850322.441, Optical Glass;4.41;109.0
Schott N-LASF45HT 801350.363, Optical Glass;3.63;116.0
Schott N-LASF46B 904313.451, Optical Glass;4.51;121.0
Schott P-LASF50 809405.454, Optical Glass;4.54;119.0
Schott P-LASF51 8104909.458, Optical Glass;4.58;119.0
Schott N-SF57HTultra 847238.353, Optical Glass;3.53;96.0
Schott P-SF68 005210.619, Optical Glass;6.19;79.0
Schott P-SF69 723292.293, Optical Glass;2.93;96.0
Schott SF11 785258.474, Optical Glass;4.74;66.0
Schott N-KZFS11 638424.320, Optical Glass;3.2;79.0
Schott N-KZFS4HT 613445.300, Optical Glass;3.0;78.0
Schott S7010N Plassive Glasses Laser Cavity Material;2.83;78.0
Schott IRG 22 Infrared Chalcogenide Glass;4.41;21.5
Schott IRG 23 Infrared Chalcogenide Glass;4.84;22.0
Schott IRG 24 Infrared Chalcogenide Glass;4.47;20.5
Schott IRG 25 Infrared Chalcogenide Glass;4.66;22.1
Schott IRG 26 Infrared Chalcogenide Glass;4.63;18.3
Schott IOG-1 Phosphate Laser Glass;2.74;61.2
Schott IOG-2 Phosphate Laser Glass;2.72;54.0
Schott IOG-10 Phosphate Laser Glass;2.71;71.0
Schott LG-680 Silicate Laser Glass;2.54;90.1
Schott LG-750 Phosphate Laser Glass;2.83;50.1
Schott LG-760 Phosphate Laser Glass;2.6;53.7
Schott LG-770 Phosphate Laser Glass;2.59;47.3
Schott LG-940 Phosphate Laser Glass;3.04;57.6
Schott AF 32 eco Ultra-Thin Glass;2.43;74.8
Schott ZERODUR Glass Ceramic;2.53;90.3
Schott ZERODUR K20 Glass Ceramic;2.53;84.7
Ohara L-BAL35P Low Softening Temperature Optical Glass;2.82;1010.0
Ohara L-BAL42P Low Softening Temperature Optical Glass;3.05;891.0
Ohara L-LAH94 Low Softening Temperature Optical Glass;4.89;1120.0
Ohara L-LAL15 Low Softening Temperature Optical Glass;3.66;1100.0
Ohara L-TIM28P Low Softening Temperature Optical Glass;2.88;845.0
Ohara S-FPM 2 Optical Glass;4.17;757.0
Ohara S-FPM 3 Optical Glass;3.64;806.0
Ohara S-FPM 4 Optical Glass;3.76;747.0
Ohara S-FPM 5 Optical Glass;3.74;769.0
Ohara S-LAH52Q Optical Glass;4.47;1100.0
Ohara S-LAH53V Optical Glass;4.41;1140.0
Ohara S-LAH55VS Optical Glass;4.58;1220.0
Ohara S-LAH60MQ Optical Glass;4.71;953.0
Ohara S-LAH60V Optical Glass;4.43;1110.0
Ohara S-LAH63Q Optical Glass;4.45;1030.0
Ohara S-LAH65VS Optical Glass;4.46;1220.0
Ohara S-LAH93 Optical Glass;4.83;1250.0
Ohara S-LAH95 Optical Glass;4.64;1180.0
Ohara S-LAH96 Optical Glass;4.54;1190.0
Ohara S-LAH97 Optical Glass;4.17;1210.0
Ohara S-LAH98 Optical Glass;4.94;1290.0
Ohara S-LAL 7Q Optical Glass;3.24;1110.0
Ohara S-LAL12Q Optical Glass;3.59;1070.0
Ohara S-LAL19 Optical Glass;3.98;1200.0
Ohara S-LAL20 Optical Glass;4.38;787.0
Ohara S-LAL21 Optical Glass;3.85;1130.0
Ohara S-LAL54Q Optical Glass;3.36;1020.0
Ohara S-LAM73 Optical Glass;4.45;868.0
Ohara S-NBH52V Optical Glass;3.01;963.0
Ohara S-NBH53V Optical Glass;3.19;1030.0
Ohara S-NBH58 Optical Glass;3.33;1050.0
Ohara S-NPH 1W Optical Glass;3.29;893.0
Ohara S-NPH 7 Optical Glass;3.3;753.0
Ohara S-PHM52Q Optical Glass;3.51;840.0
Ohara S-TIH57 Optical Glass;4.2;1170.0
Ohara BAL15Y i-Line Optical Glass;2.9;78.3
Ohara BAL35Y i-Line Optical Glass;3.23;88.1
Ohara BSL7Y i-Line Optical Glass;2.5;81.1
Ohara BSM51Y i-Line Optical Glass;3.36;90.1
Ohara L-BAL35 Low Tg Optical Glass;2.82;101.0
Ohara L-BAL42 Low Tg Optical Glass;3.05;89.1
Ohara L-BAL43 Low Tg Optical Glass;3.05;90.4
Ohara L-BBH1 Low Tg Optical Glass;6.57;68.8
Ohara L-BBH2 Low Tg Optical Glass;6.74;75.0
Ohara L-BSL 7 Low Tg Optical Glass;2.38;79.3
Ohara L-LAH53 Low Tg Optical Glass;4.49;115.0
Ohara L-LAH81 Low Tg Optical Glass;4.53;113.0
Ohara L-LAH83 Low Tg Optical Glass;5.29;127.0
Ohara L-LAH84 Low Tg Optical Glass;4.62;112.0
Ohara L-LAH85 Low Tg Optical Glass;5.09;126.0
Ohara L-LAH86 Low Tg Optical Glass;4.9;109.0
Ohara L-LAH87 Low Tg Optical Glass;4.34;115.0
Ohara L-LAH90 Low Tg Optical Glass;4.65;115.0
Ohara L-LAH91 Low Tg Optical Glass;4.29;114.0
Ohara L-LAL12 Low Tg Optical Glass;3.48;110.0
Ohara L-LAL13 Low Tg Optical Glass;3.69;108.0
Ohara L-LAM60 Low Tg Optical Glass;4.2;115.0
Ohara L-LAM69 Low Tg Optical Glass;3.24;113.0
Ohara L-LAM72 Low Tg Optical Glass;3.89;118.0
Ohara L-NBH54 Low Tg Optical Glass;3.64;109.0
Ohara L-PHL1 Low Tg Optical Glass;3.18;68.9
Ohara L-PHL2 Low Tg Optical Glass;3.03;64.5
Ohara L-TIM28 Low Tg Optical Glass;2.88;84.5
Ohara PBL1Y i-Line Optical Glass;2.95;61.3
Ohara PBL25Y i-Line Optical Glass;3.23;58.5
Ohara PBL26Y i-Line Optical Glass;3.1;58.9
Ohara PBL35Y i-Line Optical Glass;3.27;59.6
Ohara PBL6Y i-Line Optical Glass;2.79;60.5
Ohara PBM18Y i-Line Optical Glass;3.37;59.8
Ohara PBM2Y i-Line Optical Glass;3.61;57.1
Ohara PBM8Y i-Line Optical Glass;3.36;58.8
Ohara S-BAH10 Optical Glass;3.48;96.2
Ohara S-BAH11 Optical Glass;3.59;92.9
Ohara S-BAH27 Optical Glass;3.67;93.6
Ohara S-BAH28 Optical Glass;3.67;91.1
Ohara S-BAH32 Optical Glass;3.26;90.4
Ohara S-BAL 2 Optical Glass;2.89;72.7
Ohara S-BAL 3 Optical Glass;2.98;71.9
Ohara S-BAL11 Optical Glass;3.02;81.9
Ohara S-BAL12 Optical Glass;2.75;71.0
Ohara S-BAL14 Optical Glass;2.89;81.1
Ohara S-BAL35 Optical Glass;3.31;83.2
Ohara S-BAL41 Optical Glass;2.78;89.0
Ohara S-BAL42 Optical Glass;3.19;84.7
Ohara S-BAM 3 Optical Glass;2.75;77.1
Ohara S-BAM 4 Optical Glass;2.91;76.2
Ohara S-BAM12 Optical Glass;3.18;90.4
Ohara S-BSL 7 Optical Glass;2.52;80.0
Ohara S-BSM 2 Optical Glass;3.53;78.0
Ohara S-BSM 4 Optical Glass;3.57;81.6
Ohara S-BSM 9 Optical Glass;3.22;86.5
Ohara S-BSM10 Optical Glass;3.6;83.5
Ohara S-BSM14 Optical Glass;3.43;84.9
Ohara S-BSM15 Optical Glass;3.6;85.4
Ohara S-BSM16 Optical Glass;3.59;87.8
Ohara S-BSM18 Optical Glass;3.69;88.5
Ohara S-BSM22 Optical Glass;3.24;87.4
Ohara S-BSM25 Optical Glass;3.5;95.1
Ohara S-BSM28 Optical Glass;3.23;85.3
Ohara S-BSM71 Optical Glass;3.74;86.2
Ohara S-BSM81 Optical Glass;3.06;106.0
Ohara S-FPL51 Optical Glass;3.62;72.7
Ohara S-FPL51Y i-Line Optical Glass;3.66;71.6
Ohara S-FPL53 Optical Glass;3.62;69.1
Ohara S-FPL55 Optical Glass;3.59;69.8
Ohara S-FPM2 Optical Glass;4.17;75.7
Ohara S-FPM3 Optical Glass;3.64;80.6
Ohara S-FSL 5 Optical Glass;2.46;62.3
Ohara S-FSL5Y i-Line Optical Glass;2.46;62.2
Ohara S-FTM16 Optical Glass;2.64;65.3
Ohara S-LAH51 Optical Glass;4.4;113.0
Ohara S-LAH52 Optical Glass;4.41;112.0
Ohara S-LAH53 Optical Glass;4.43;113.0
Ohara S-LAH55V Optical Glass;4.73;118.0
Ohara S-LAH58 Optical Glass;5.52;127.0
Ohara S-LAH59 Optical Glass;5.07;125.0
Ohara S-LAH60 Optical Glass;4.43;125.0
Ohara S-LAH63 Optical Glass;4.34;112.0
