Name;Density (g/cc);E-Modul (GPa);Poissons Ratio;Class
Fused Quartz;2.20;70.0 - 78.0;0.170
CeramTec CD 110 Silicon Carbide, SSiC;3.10;415;0.160
CeramTec Rocar SiG Silicon Carbide, SiSiC;3.07;380;0.170
CeramTec Rocar ST Silicon Carbide, SSiC;3.11;420;0.160
CeramTec CD 101 Silicon Carbide, SiC-ZrB2;3.26;415;0.160
CeramTec 447 Cordierite;1.80;125;0.200
CeramTec Rocar S Silicon Carbide, SSiC;3.15;430;0.170
CeramTec Rocar SiF Silicon Carbide, SiSiC;3.07;395;0.170
CoorsTek HPB4C Hot Pressed Boron Carbide;2.50;460;0.170
CoorsTek FUSED QUARTZ Min. 99.99% SiO2;2.20;72.0;0.160
CoorsTek CeraSiC -B Direct Sintered Silicon Carbide;3.01;420;0.180
CoorsTek UltraSiC™ GI (SC-35) Graphite Direct Sintered Silicon Carbide;2.90;310;0.180
CoorsTek Cercom PAD B4C Pressure Assisted Densification Boron Carbide;2.49;430;0.160
CoorsTek Cercom PAD SIC-B4C Pressure Assisted Densification SiC with Boron Carbide;3.05;450;0.160
CoorsTek Cercom PAD SIC-N Pressure Assisted Densification Silicon Carbide;3.20;460;0.140
CoorsTek Cercom PAD SIC X-1 Pressure Assisted Densification BallisticGrade Silicon Carbide;3.23;455;0.140
CoorsTek Cercom PAD B4C-SIC Pressure Assisted Densification Boron Carbide w/ Silicon Carbide;2.63;455;0.160
CoorsTek Cercom PAD TIB2 Pressure Assisted Densification Titanium Diboride;4.48;555;0.110
CoorsTek UltraSiC™ HD Direct Sintered Silicon Carbide;3.15;410;0.200
CoorsTek RB B4C Reaction-Bonded Boron Carbide;2.65;379;0.180
CoorsTek ADS-995 99.5% Alumina Thin Film;3.88;372;0.200
CoorsTek ADS-996 99.6% Alumina Thin Film;3.88;372;0.200
CoorsTek Superstrate 996 99.6% Alumina Thin Film;3.88;372;0.200
CoorsTek Superstrate TPS 99.6% Alumina Thin Film;3.95;372;0.200
Corning 7740 Soda Borosilicate Glass Powder;2.23;64.0;0.200
Corning HPFS 7979 IR Grade High Purity Fused Silica;2.20;73.0;0.160
Corning HPFS 7980 Standard Grade High Purity Fused Silica;2.20;73.0;0.160
Corning HPFS 7980 KrF High Purity Fused Silica;2.20;73.0;0.160
Corning HPFS 7980 ArF High Purity Fused Silica;2.20;73.0;0.160
Corning HPFS 7980 Mirror Grade High Purity Fused Silica;2.20;73.0;0.160
Corning HPFS 7980 Industrial Grade High Purity Fused Silica;2.20;73.0;0.160
Corning HPFS 8655 ArF Grade High Purity Fused Silica;2.20;73.0;0.160
Corning TSG Titania Silicate Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7972 Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 Premium Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 EUV Premium Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 EUV Mask A Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 EUV Standard Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 Mirror Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 Standard Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning ULE 7973 Tooling Grade Ultra Low Expansion Glass;2.21;67.6;0.170
Corning Willow Flexible Display Glass;2.30 - 2.50;70.0 - 80.0;0.200 - 0.250
Diamond, Natural;3.51 - 3.52;700 - 1200;0.100 - 0.290
Diamond, Synthetic;3.20 - 3.52;800 - 925;0.200
Diamond, Polycrystalline;3.00 - 4.00;749 - 953;0.0700 - 0.200
3M Techical Ceramics Ekasic C Silicone Carbide;3.15;440;0.170
3M Techical Ceramics Ekasic F Silicone Carbide;3.15;430;0.170
3M Techical Ceramics Ekasic T Silicone Carbide;3.21;420;0.170
3M Techical Ceramics Boron Carbide Powder;2.48;420;0.180
3M Techical Ceramics Ekasic F Plus Silicon Carbide;3.18;430;0.170
3M Techical Ceramics Ekasic P Silicon Carbide;2.76 - 2.89;340;0.130
3M Techical Ceramics Ekasic G Silicon Carbide;3.02;390;0.150
3M Techical Ceramics Ekasic T Plus Silicon Carbide;3.24;430;0.170
3M Techical Ceramics Titanium Diboride;4.50;575;0.110
Ferro Aluminum Oxide P87;3.48;248;0.200
A-Glass Fiber, Generic;2.44;68.9;0.183
E-Glass Fiber, Generic;2.54 - 2.60;72.4;0.200
Goodfellow Titanium Diboride, TiB2;4.50;520 - 570;0.180 - 0.200
Mateck Fused Silica UV-VIS Grade (SiO2);2.21;73.6;0.170
Mateck Fused Silica IR Grade (SiO2);2.21;73.6;0.170
Mateck Potassium Bromide (KBr);2.75;13.8 - 33.0;0.138
Mateck Potassium Chloride (KCl);1.98;16.8 - 38.2;0.134
Morgan Advanced Ceramics Alumina AL998A Aluminum Oxide Ceramic;3.94;391;0.190
Morgan Advanced Ceramics Alumina AL998A Technical Ceramic;3.94;391;0.190
Poco Graphite SUPERSiC 3C Silicon Carbide;3.15;216;0.170
Poco Graphite SUPERSiC 3CX Silicon Carbide;3.15;216;0.170
Poco Graphite SUPERSiC Si-3C Silicon Carbide;3.03;338;0.170
Poco Graphite SUPERSiC Si-8C Silicon Carbide;3.03;338;0.170
Potters Industries Spheriglass 1922 Solid Glass Spheres;2.50;68.9;0.160
Potters Industries Spheriglass 2024 Solid Glass Spheres;2.50;68.9;0.160
Potters Industries Spheriglass 2429 Solid Glass Spheres;2.50;68.9;0.160
Potters Industries Spheriglass 2530 Solid Glass Spheres;2.50;68.9;0.160
Potters Industries Spheriglass 3000 Solid Glass Spheres;2.50;68.9;0.160
Potters Industries Spheriglass 5000 Solid Glass Spheres;2.50;68.9;0.160
Schott K10 Glass;2.52;65.0;0.190
Schott LITHOSIL-Q Glass;2.20;72.0;0.170
Schott CONTURAX Borosilicate Glass;2.23;63.0;0.200
Schott CONTURAX Pro Borosilicate Glass;2.23;63.0;0.200
Schott DURATAN Borosilicate Glass;2.23;63.0;0.200
Schott DUROBAX amber Neutral Glass Tubing;2.42;71.0;0.190
Schott DUROBAX clear Neutral Glass Tubing;2.34;73.0;0.200
Schott Glass 8326 Neutral Glass Tubing;2.45;75.0;0.200
Schott Glass 8347 Borosilicate Glass;2.23;63.0;0.200
Schott Glass 8487 Borosilicate Glass;2.25;66.0;0.200
Schott Glass 8687 Borosilicate Glass;2.25;66.0;0.200
Schott Glass 8688 Borosilicate Glass;2.27;64.0;0.200
Schott Glass 8689 Borosilicate Glass;2.27;65.0;0.200
Schott Glass 8800R Glass Tube;2.27;65.0;0.200
Schott KIMAX Borosilicate Glass;2.23;63.0;0.200
Schott BOROFLOAT Borosilicate Float Glass;2.23;63.0;0.200
Saint-Gobain Puropsil B Infrared Grade Low [OH] Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Spectrosil 1000 Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Spectrosil 2000 Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Spectrosil 2100 Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Spectrosil 2200 Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Vitreosil 055 Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Vitreosil 065 066 Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Vitreosil CFQ/TSC Optical Fused Quartz;2.20;72.0;0.160
Saint-Gobain HS Grade Optical Fused Quartz;2.21;74.0;0.170
Saint-Gobain Vitreosil Clear Fused Quartz Tubing;2.21;74.0;0.170
Saint-Gobain Quartzel Fused Quartz Textiles;2.20;78.0;0.160
CoorsTek Reaction Bonded Silicon Carbide, SCRB (SC-2);3.10;393;0.190
CoorsTek SC-DSG (SC-35) Graphite Loaded Sintered Silicon Carbide;2.80;310;0.180
CoorsTek SC-BNL (SC-42) Loaded Reaction Bonded Silicon Carbide;2.90;150;0.200
Ohara S-BAL12 Optical Glass;2.75;71.0;0.161
Ohara S-NSL 5 Optical Glass;2.49;69.1;0.140
Ohara S-NSL36 Optical Glass;2.46;64.0;0.139
Ohara S-TIL 6 Optical Glass;2.50;64.8;0.146
Overview of materials for Beryllium Alloy;1.84 - 8.94;110 - 330;0.0700 - 0.330
Overview of materials for Copper Alloy;3.32 - 12.2;0.100 - 250;0.181 - 0.380
Overview of materials for Refractory Metal;1.52 - 21.0;68.9 - 469;0.200 - 0.380
Overview of materials for Tungsten Alloy;2.74 - 19.7;220 - 430;0.200 - 0.320
Beryllium I-220H Grade 1;1.84;303;0.0700 - 0.180
Beryllium I-220H Grade 2;1.84;303;0.0700 - 0.180
Beryllium I-220C, Vacuum Hot Pressed;1.84;303;0.0700 - 0.180
Beryllium I-220H Instrument Grade;1.84;303;0.0700 - 0.180
Beryllium IP-70, Powder;1.84;303;0.0700 - 0.180
Beryllium I-70B, Vacuum Hot Pressed;1.84;303;0.0700 - 0.180
Beryllium I-70H, Optical Grade;1.84;303;0.0700 - 0.180
Beryllium IF-1, Foil Grade;1.84;303;0.0700 - 0.180
Beryllium O-30-L, Optical Grade;1.84;303;0.0700 - 0.180
Beryllium PF-60, Foil Grade;1.84;303;0.0700 - 0.180
Beryllium S-200F, Vacuum Hot Pressed;1.85;303;0.180
Beryllium S-200FH, Hot Isostatic Pressed;1.84;303;0.0700 - 0.180
Beryllium S-200, Rod;1.84;303;0.0700 - 0.180
Beryllium S-200, Tubing;1.84;303;0.0700 - 0.180
Beryllium S-65C, Vacuum Hot Pressed;1.84;303;0.0700 - 0.180
Beryllium S-65H, Hot Isostatic Pressed;1.84;303;0.0700 - 0.180
Beryllium S-200FC, Cold Isostatic Pressed and Sintered;1.84;303;0.0700 - 0.180
Beryllium SP-65, Powder;1.84;303;0.0700 - 0.180
Beryllium SP-200F, Powder;1.84;303;0.0700 - 0.180
Beryllium SR-200;1.84;307;0.0700 - 0.180
Materion AlBeMet AM 162 HIP'd Billet, Annealed;2.07;193;0.170
Materion AlBeMet AM 162 Extruded Bar, Annealed;2.07;193;0.170
Materion AlBeMet AM 162 Rolled Sheet, Annealed;2.07;193;0.170
Materion AlBeCast™ IC910 Aluminum Beryllium Composite;2.17;192 - 193;0.154
IBC Advanced Alloys Beralcast 191 Beryllium-Aluminum Alloy;2.16;202;0.200
IBC Advanced Alloys Beralcast 363 Beryllium-Aluminum Alloy;2.16;202;0.200
Cadi 1815 Copper Alloy;8.89;117;0.181
Cadi 182 Copper Alloy;8.89;117;0.181
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;3.02;330;0.190
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;3.00;330;0.180
M Cubed Technologies SSC-702 Reaction-Bonded Silicon Carbide;3.00;350;0.180
M Cubed Technologies SSC-802 Reaction-Bonded Silicon Carbide;3.00;380;0.170
M Cubed Technologies SSC-903 Reaction-Bonded Silicon Carbide;3.01;360;0.170
M Cubed Technologies TSC-15 Titanium-alloyed Reaction Bonded Silicon Carbide;3.13;390;0.190
M Cubed Technologies RBBC-751 Reaction Bonded Boron Carbide;2.56;380;0.180
Plansee DENSIMET D185 Tungsten-Nickel-Iron Alloy;18.3 - 18.9;385;0.200
Ceramic Process Systems AlSiC-8, 70 vol% SiC;2.99;218;0.154
Overview of materials for Epoxy Adhesive;0.137 - 4.80;0.0345 - 59.1;0.0200 - 0.680
Overview of materials for Epoxy/Carbon Fiber Composite;1.15 - 2.25;2.62 - 520;0.0200 - 0.960
Overview of materials for Nylon 6, 50% Glass Fiber Filled;1.46 - 1.80;3.80 - 30.1;0.170 - 0.380
Arlon Electronic Materials 33N Polyimide Laminate and Prepreg;1.60;22.1;0.150
Arlon Electronic Materials 35N Fast Cure Polyimide Laminate and Prepreg;1.60;26.2 - 29.6;0.150 - 0.160
Arlon Electronic Materials EP2 Enhanced Polyimide Laminate and Prepreg;1.60;27.6;0.190 - 0.210
Rogers Arlon CLTE Microwave Printed Circuit Board Substrate;2.38;7.24;0.130
Rogers Arlon CLTE-AT Commercial Ceramic PTFE;2.06;1.79;0.170
Rogers Arlon AD1000 PTFE/Woven Fiberglass/Ceramic Filled Laminate for Microwave Printed Circuit Boards;3.20;1.38;0.160
Arlon Electronic Materials 47N Quick Cure Epoxy Low-Flow Prepreg;1.75;17.9;0.170
Arlon Electronic Materials 49N Multifunctional Epoxy Low-Flow Prepreg;1.75;17.9;0.170
Arlon Electronic Materials 84N Polyimide Laminate and Prepreg;1.65;20.7;0.150
Arlon Electronic Materials 45N Multifunctional Epoxy Laminate and Prepreg;1.85;19.3;0.200
Arlon Electronic Materials 44N Multifunctional Microdispersed Ceramic Filled Epoxy-Fiberglass Prepreg;1.85;19.3;0.150
Arlon Electronic Materials 45NK Woven Kevlar Reinforced Laminate and Prepreg;1.50;27.6;0.200
Bond Laminates TEPEX dynalite 102-RG600(x)/47% Roving Glass – PA 6 Consolidated Composite Laminate;1.80;21.5 - 22.4;0.170
CRP Technology Windform RS Carbon Fiber Reinforced Composite for SLS/PBF;1.10;2.66 - 6.64;0.190 - 0.420
Solvay CYCOM 759F Epoxy - 2X2 Twill Fabric Reinforced Prepreg;1.23;57.0 - 62.0;0.130 - 0.910
Solvay MTM 348FR Epoxy Resin;1.48;27.0 - 59.1;0.0200 - 0.680
Uniseal BETABRACE™ 85001 Epoxy;0.752;1.47;0.110
Uniseal BETABRACE™ 85002 Epoxy;0.752;1.47;0.110
ITW Densit Ducorit S8 Grout;2.22 - 2.31;34.9;0.200
ITW Densit Ducorit D4 Grout;2.74;68.9 - 88.0;0.190
ITW Densit Ducorit S5 Grout;2.24;55.2 - 60.0;0.190
ITW Densit Ducorit S5R Grout;2.38;55.2 - 60.0;0.190
ITW Densit Ducorit S2 Grout;2.35;46.9 - 48.0;0.180
ITW Densit Ducorit S1 Grout;2.25;34.5 - 37.0;0.190
Park Aerospace Nelco N8000 Cyanate Ester Epoxy Laminate and Prepreg;1.73;20.7;0.140
Park Aerospace Nelco N8000Q Cyanate Ester Epoxy Laminate and Prepreg;1.73;15.9 - 17.9;0.160
Park Aerospace Nelco N4000-12 High Speed/Low Loss, CAF Resistant Laminate and Prepreg;1.90;23.4 - 28.3;0.140 - 0.160
Park Aerospace Nelco N4000-13 High-Speed Multifunctional Epoxy Laminate and Prepreg;1.91;22.8 - 29.0;0.110 - 0.130
Park Aerospace Nelco N4000-13 SI High-Speed Multifunctional Epoxy Laminate and Prepreg;1.79;15.9 - 16.5;0.170 - 0.180
Park Aerospace Nelco N4000-2 Multifunctional Epoxy Laminate and Prepreg;1.92;24.1 - 28.3;0.140 - 0.160
Park Aerospace Nelco N4000-6 FC Multifunctional Epoxy Laminate and Prepreg;1.92;25.5 - 30.3;0.140 - 0.160
Park Aerospace Nelco N4000-7 FR-4 Epoxy Laminate and Prepreg;1.97;19.3 - 24.1;0.110 - 0.130
Park Aerospace Nelco N4000-29 Multifunctional Epoxy;1.99;20.0 - 24.8;0.160 - 0.180
Park Aerospace Nelco N5000 BT Epoxy Laminate and Prepreg;1.77;28.3 - 32.4;0.140 - 0.160
Park Aerospace Nelco N7000-1 Polyimide Laminate and Prepreg;1.68;26.9;0.120
Park Aerospace Nelco N7000-2 HT/N7000-3 Toughened Polyimide Laminate and Prepreg;1.70;21.4 - 22.8;0.146 - 0.153
Park Aerospace Nelco N7000-2 V0 Toughened Polyimide Laminate and Prepreg;1.93;26.2 - 31.0;0.160 - 0.183
Toray 2510 Prepreg Laminate with FGF7781-07I Fiber;1.80;22.7 - 23.6;0.140
Cerium, Ce;6.70;41.4;0.248
Dysprosium, Dy;8.54;61.4;0.237
Erbium, Er;9.05;69.9;0.237
Holmium, Ho;8.80;64.8;0.231
Plutonium, Pu;19.0;96.5;0.150 - 0.210
Thulium, Tm;9.33;74.0;0.213
Yttrium, Y;4.47;63.5;0.243
Ytterbium, Yb;6.98;23.7;0.207
Corundum, Aluminum Oxide, Alumina, 99.9%, Al2O3;3.96;370;0.220
Overview - Alumina, 98%, Al2O3;3.90;340;0.220
Overview - Alumina, 96%, Al2O3;3.80;300;0.220
Alumina, alpha Al2O3, 99.5%;3.90;370;0.220
Alumina, alpha Al2O3, 96%;3.72;303;0.210
99.5% Alumina, thin film substrate;3.90;370;0.200
99.6% Alumina, thin-film substrate;3.90;370;0.200
Niobium Carbide, NbC;7.60 - 7.82;330 - 537;0.220
Silicon Carbide, Reaction-Bonded, SiSiC;2.90 - 3.10;350 - 400;0.170 - 0.200
Tantalum Carbide, TaC;14.3;241 - 722;0.240
Vanadium Carbide, VC;5.71;268 - 420;0.220
Zirconium Carbide, ZrC;6.56 - 6.73;345 - 406;0.190 - 0.200
Mullite, 3Al2O3-2SiO2;2.80;150;0.250
Silicon Nitride, reaction sintered;3.20 - 3.30;96.0 - 220;0.250 - 0.260
Silicon Nitride, RBSN;3.20 - 3.30;120 - 150;0.200
Silicon Nitride;3.20;260 - 320;0.250
Silicon Nitride, SRBSN;3.20 - 3.30;280 - 300;0.230
Silicon Nitride, Sialon;3.20 - 3.30;300;0.230
Chromium Nitride (CrN) PVD Coating;5.90;200;0.200
Titanium Nitride (TiN) Coating;5.22;600;0.250
Steatite (Magnesium Silicon Oxide);2.50;100;0.240
CoorsTek AD-85 Alumina (nom. 85% Al2O3);3.42;221;0.220
CoorsTek AD-90 Alumina (nom. 90% Al2O3);3.60;276;0.220
CoorsTek AD-94 Alumina (nom. 94% Al2O3);3.70;303;0.210
CoorsTek AD-96 Alumina (nom. 96% Al2O3);3.72;303;0.210
CoorsTek FG-995 Alumina (nom. 98.5% Al2O3);3.80;350;0.220
CoorsTek AD-995 Alumina (nom. 99.5% Al2O3);3.90;370;0.220
CoorsTek AD-998 Alumina(nom. 99.8% Al2O3);3.92;370;0.220
CoorsTek PlasmaPure™ AD-998 Alumina (nom. 99.8% Al2O3);3.93;370;0.220
Advanced Ceramics ZEMAT ACL 2090 - Zero Expansion Glass-Ceramic;2.53;89.6;0.240
ERG Aerospace Duocel Silicon Carbide Foam;0.161 - 0.385;2.76 - 6.89;0.220
CeramTec 645 Steatite (MgO-SiO2);2.70;107;0.230
CeramTec 771 94% Alumina (Al2O3);3.60;281;0.240
CeramTec V 38 Alumina, 96.0% Al2O3-SiO2;3.75;350;0.230
CeramTec B 601 Alumina, 98.5%;3.83;320;0.220
CeramTec B 40 Alumina, 99.1%;3.82;360;0.230
CeramTec V 679 Alumina, 99.7%;3.90;390;0.230
CeramTec AT 79 Alumina, 99.6%;3.95;390;0.230
CeramTec RK 87 Alumina, 99.8%;3.96;406;0.230
CeramTec DC 25 Dispersion Ceramic, Al2O3-ZrO2;4.37;357;0.240
CeramTec DN 70 Dispersion Ceramic, Al2O3-ZrO2;4.01;360;0.230
CeramTec SL 303 Silicon Nitride, SiAION+SiC;3.25;345;0.250
CeramTec Rubalit IS 95 Alumina;3.73;330;0.230
CeramTec Rubalit IS 95 Brown Alumina;3.72;300;0.230
CeramTec Rubalit A 1896 Alumina;3.73;330;0.230
CeramTec 665 Steatite, MgO•SiO2;2.80;117;0.250
CeramTec 447 Cordierite;1.80;125;0.200
CeramTec 614/698 Alumina, 96%;3.70;276;0.240
CeramTec Rubalit A 1999.5 Alumina, 99.7%;3.88;350;0.230
CeramTec 950 Zirconia Toughened Alumina (ZTA), Al2O3•ZrO2;4.40;289;0.220
CeramTec Rubalit A 1894 Alumina, 94%;3.70;320;0.220
CeramTec Rubalit A 1898 Alumina, 98%;3.80;350;0.220
CoorsTek SAPPHAL Advanced Alumina;3.99;395;0.230
CoorsTek ADS 11 Advanced Alumina;3.90;360;0.240
CoorsTek ESD Alumina Ceramic;3.85;370;0.220
CoorsTek UltraSiC™ SC-90 Plus Silicon Carbide (SiC);3.15;410;0.210
CoorsTek UltraSiC™ LP SC-52 Silicon Carbide (SiC);3.22;375;0.210
CoorsTek ADS-12 Min. 99.5% Al2O3;3.90;380;0.220
CoorsTek AD-995-I2 Nom. 99.5% Al2O3;3.90;370;0.220
CoorsTek AD-995-LT Nom. 99.5% Al2O3;3.90;370;0.220
CoorsTek AD-995-I4 Min. 99.5% Al2O3;3.90;380;0.220
CoorsTek AD-996-SI Min. 99.5% Al2O3;3.90;380;0.220
CoorsTek PLASMAPURE™ AD-998-I2 Min. 99.8% Al2O3;3.92;380;0.220
CoorsTek PLASMAPURE-UC™ SA-999-I Min. 99.9% Al2O3;3.92;386;0.220
CoorsTek UltraSiC™ LP (SC-51) Liquid Phase Sintered Silicon Carbide;3.22;420;0.210
CoorsTek Cercom ALN S-1 Direct Sintered High Resistance;3.29;330;0.230
CoorsTek Cercom ALN HP Hot Pressed;3.25;330;0.230
CoorsTek Cercom PAD EBON-A Pressure Assisted Densification Black Alumina;3.93;390;0.220
CoorsTek UltraSiC™ S (SC-90) Direct Sintered Silicon Carbide;3.15;410;0.210
CoorsTek UltraSiC™ HD Direct Sintered Silicon Carbide;3.15;410;0.200
CoorsTek AD-996 99.6% Alumina;3.90;370;0.220
CoorsTek PlasmaPure-UC™ 99.9% Alumina;3.94;386;0.240
CoorsTek ACI-Ni6 Tungsten Carbide;14.9;607;0.250
CoorsTek ACI-Ni10 Tungsten Carbide;14.4;572;0.230
CoorsTek ACI-Co6 Tungsten Carbide;14.9;627;0.210
CoorsTek ACI-Co10 Tungsten Carbide;14.5;593;0.220
CoorsTek Z-PLUS™ 94 Zirconia-Impr. Alumina Ceramic Armor Material;3.70;303;0.210
CoorsTek FG-98 98% Alumina Ceramic Armor Material;3.80;350;0.220
CoorsTek CAP 4 98.5% Alumina Ceramic Armor Material;3.80;350;0.220
CoorsTek CAP 3 99.5% Alumina Ceramic Armor Material;3.90;370;0.220
CoorsTek ADOS-90R 91% Alumina Thick Film Substrate;3.72;310;0.240
CoorsTek ADS-96R 96% Alumina Thick Film Substrate;3.75;331;0.250
CoorsTek ADSR-96R DuraStrate™ 96% Alumina Thick Film;3.75;331;0.250
CoorsTek ADS-995R MidFilm™ 99.5% Alumina Thick Film;3.90;379;0.240
CoorsTek ADS-995 99.5% Alumina Thin Film;3.88;372;0.200
CoorsTek ADS-996 99.6% Alumina Thin Film;3.88;372;0.200
CoorsTek Superstrate 996 99.6% Alumina Thin Film;3.88;372;0.200
CoorsTek Superstrate TPS 99.6% Alumina Thin Film;3.95;372;0.200
CoorsTek Hot Pressed Aluminum Nitride;3.26;330;0.250
Corning 7052 Alkali Barium Borosilicate Sealing Glass Powder;2.27;57.6;0.220
Corning 7056 Alkali Borosilicate Crushed/Powdered Glass;2.29;62.8;0.210
Corning 7070 Lithia Potash Borosilicate Crushed/Powdered Glass;2.13;51.0;0.220
Corning 7740 Soda Borosilicate Glass Powder;2.23;64.0;0.200
Corning Gorilla Glass 3 Touch Screen Glass with NDR;2.39;69.3;0.220
Corning Antimicrobial Gorilla Glass Touch Screen Glass;2.39;69.3;0.220
Corning Gorilla Glass 5 Display Glass;2.43;76.7;0.210
Corning Gorilla Glass 6 Display Glass;2.40;77.0;0.210
Corning Gorilla Glass Victus™ Display Glass;2.40;77.0;0.220
Corning Large Cover Gorilla Glass Touch Screen Glass;2.44;71.7;0.210
Corning Polarcor™ Glass Polarizer, 633 nm Nominal Wavelength;2.41;58.6;0.210
