Name;Density (g/cc);E-Modul (GPa);Class
SGL Carbon Group SIGRAFIL C C25 S003 APS Staple Carbon Fiber, Aromatic Polymer Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S006 APS Staple Carbon Fiber, Aromatic Polymer Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S001 EPY Staple Carbon Fiber, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S003 EPY Staple Carbon Fiber, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S006 EPY Staple Carbon Fiber, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S009 EPY Staple Carbon Fiber, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S012 EPY Staple Carbon Fiber, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S006 GLY Staple Carbon Fiber, Glycerine Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S009 GLY Staple Carbon Fiber, Glycerine Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 S012 GLY Staple Carbon Fiber, Glycerine Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C10 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.75;200;Carbon
SGL Carbon Group SIGRAFIL C C10 S006 GLY Staple Carbon Fiber, Glycerine Sizing;1.75;200;Carbon
SGL Carbon Group SIGRAFIL C C30 S003 GLY Staple Carbon Fiber, Glycerine Sizing;1.82;240;Carbon
SGL Carbon Group SIGRAFIL C C30 S006 GLY Staple Carbon Fiber, Glycerine Sizing;1.82;240;Carbon
SGL Carbon Group SIGRAFIL C C30 S009 GLY Staple Carbon Fiber, Glycerine Sizing;1.82;240;Carbon
SGL Carbon Group SIGRAFIL C C30 S012 GLY Staple Carbon Fiber, Glycerine Sizing;1.82;240;Carbon
SGL Carbon Group SIGRAFIL C C10 M250 UNS Milled Carbon Fiber, Unsized Carbon Fiber;1.75;180;Carbon
SGL Carbon Group SIGRAFIL C C25 M100 UNS Milled Carbon Fiber, Unsized Carbon Fiber;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 M250 UNS Milled Carbon Fiber, Unsized Carbon Fiber;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 M350 UNS Milled Carbon Fiber, Unsized Carbon Fiber;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 P350 PUT Pelletized Carbon Fiber, Polyurethane Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 P250 EPY Pelletized Carbon Fiber, Epoxy Sizing;1.80;225;Carbon
SGL Carbon Group SIGRAFIL C C25 P350 GLY Pelletized Carbon Fiber, Glycerine Sizing;1.80;225;Carbon
Teijin TENAX Chopped Carbon Fiber;1.80;240;Carbon
Teijin Tenax E HTS40 F13 Poly-acrylonitrile Carbon Fiber;1.77;240;Carbon
Teijin Tenax J HTS40 E13 3K 200tex Poly-acrylonitrile Carbon Fiber;1.77;230;Carbon
Teijin Tenax J HTS40 E13 6K 400tex Poly-acrylonitrile Carbon Fiber;1.77;230;Carbon
Teijin Tenax J HTS40 E13 12K 800tex Poly-acrylonitrile Carbon Fiber;1.77;230;Carbon
Teijin Tenax E HTS40 F13 12K 800tex Poly-acrylonitrile Carbon Fiber;1.77;230;Carbon
Teijin Tenax E HTS40 F13 24K 1600tex Poly-acrylonitrile Carbon Fiber;1.77;230;Carbon
Teijin Tenax J HTS40 A23 12K 1420tex MC Nickel-Coated, high strength carbon fiber;2.70;230;Carbon
Teijin Tenax J UTS50 E13 12K 800tex Poly-acrylonitrile Carbon Fiber;1.78;245;Carbon
Teijin Tenax J UTS50 F13 12K 800tex Poly-acrylonitrile Carbon Fiber;1.78;245;Carbon
Teijin Tenax E UTS50 F24 24K 1600tex DCP Poly-acrylonitrile Carbon Fiber;1.78;235;Carbon
Teijin Tenax J UTS50 F24 24K 1600tex DCP Poly-acrylonitrile Carbon Fiber;1.78;235;Carbon
Teijin Tenax J IMS60 E13 24K 830tex Poly-acrylonitrile Carbon Fiber;1.79;290;Carbon
Teijin Tenax E IMS65 E23 24K 830tex Poly-acrylonitrile Carbon Fiber;1.78;290;Carbon
Teijin Tenax A IM P303 3mm Chopped carbon fiber;1.79;275;Carbon
Teijin Tenax E ITS50 F23 24K 1600tex D Poly-acrylonitrile Carbon Fiber;1.80;255;Carbon
Teijin Tenax A HT P722 3mm Chopped carbon fiber;1.79;232;Carbon
Teijin Tenax A HT P802 3mm Chopped carbon fiber;1.79;232;Carbon
Teijin Tenax A HT P303 3mm Chopped carbon fiber;1.74;220;Carbon
Solvay Thornel T-300 1K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.76;231;Carbon
Solvay Thornel T-300 3K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.76;231;Carbon
Solvay Thornel T-300 6K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.76;231;Carbon
Solvay Thornel T-300 12K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.76;231;Carbon
Solvay Thornel T-650/35 3K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.77;241;Carbon
Solvay Thornel T-650/35 6K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.77;241;Carbon
Solvay Thornel T-650/35 12K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.70;248;Carbon
Solvay Thornel T-650/42 6K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.78;290;Carbon
Solvay Thornel T-650/42 12K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.78;290;Carbon
Solvay Thornel P-25 2K Carbon Fiber, Pitch Precursor;1.90;160;Carbon
Solvay Thornel P-25 4K Carbon Fiber, Pitch Precursor;1.90;160;Carbon
Solvay Thornel VCL Carbon Fiber Cloth;1.40;15.0;Carbon
Solvay Thornel Graphite Cloth;1.40;13.0;Carbon
Toho Tenax Besfight MC Type I (3000 Filament) Nickel Coated Carbon Fiber;2.70;226;Carbon
Toho Tenax Besfight MC Type I (6000 Filament) Nickel Coated Carbon Fiber;2.70;226;Carbon
Toho Tenax Besfight MC Type I (12,000 Filament) Nickel Coated Carbon Fiber;2.70;226;Carbon
Toho Tenax Besfight MC Type II (3000 Filament) Nickel Coated Carbon Fiber;3.40;216;Carbon
Toho Tenax Besfight MC Type II (6000 Filament) Nickel Coated Carbon Fiber;3.40;216;Carbon
Toho Tenax Besfight MC Type II (12,000 Filament) Nickel Coated Carbon Fiber;3.40;216;Carbon
Toho Tenax Besfight STS 24K HTA-7C F301 Continuous Filament Carbon Fiber;1.75;240;Carbon
Toho Tenax Besfight G30-400 1K HTA-7W EP01 Continuous Filament Carbon Fiber;1.78;234;Carbon
Toho Tenax Besfight G30-500 3K HTA-7W EP01 Continuous Filament Carbon Fiber;1.78;234;Carbon
Toho Tenax Besfight G30-500 3K HTA-7C EP01 Continuous Filament Carbon Fiber;1.78;234;Carbon
Toho Tenax Besfight G30-500 3K HTA-7C EP03 Continuous Filament Carbon Fiber;1.75;234;Carbon
Toho Tenax Besfight G30-500 6K HTA-7C EP01 Continuous Filament Carbon Fiber;1.78;234;Carbon
Toho Tenax Besfight G30-500 6K HTA-7C EP03 Continuous Filament Carbon Fiber;1.75;234;Carbon
Toho Tenax Besfight G30-500 12K HTA-7C EP01 Continuous Filament Carbon Fiber;1.76;234;Carbon
Toho Tenax Besfight G30-500 12K HTA-7C EP03 Continuous Filament Carbon Fiber;1.75;234;Carbon
Toho Tenax Besfight G30-500 12K HTA-7S F202 Continuous Filament Carbon Fiber;1.75;239;Carbon
Toho Tenax Besfight G30-500 12K HTA-7C NS01 Continuous Filament Carbon Fiber;1.75;234;Carbon
Toho Tenax Besfight G30-700 12K HTA-7C EP03 Continuous Filament Carbon Fiber;1.78;241;Carbon
Toho Tenax Besfight G30-700 12K HTA-7C F301 Continuous Filament Carbon Fiber;1.78;241;Carbon
Toho Tenax Besfight G30-700 24K HTA-7D F402 Continuous Filament Carbon Fiber;1.79;241;Carbon
Toho Tenax Besfight G40-600 12K IMA-7C EP03 Continuous Filament Carbon Fiber;1.74;290;Carbon
Toho Tenax Besfight G40-800 6K IMA-5C EP03 Continuous Filament Carbon Fiber;1.79;286;Carbon
Toho Tenax Besfight G40-800 12K IMA5C EP03 Continuous Filament Carbon Fiber;1.79;286;Carbon
Toho Tenax Besfight G40-800 24K IMA5C EP03 Continuous Filament Carbon Fiber;1.79;286;Carbon
Toho Tenax Besfight G50-300 12K HMA-7C EP01 Continuous Filament Carbon Fiber;1.78;359;Carbon
Toho Tenax Besfight G55-700 24K HMA-5C A303 Continuous Filament Carbon Fiber;1.80;393;Carbon
Toho Tenax Besfight G60-600 12K UMA-5C A303 Continuous Filament Carbon Fiber;1.82;427;Carbon
Toho Tenax Besfight G80-600 12K UMA-5C F301 Continuous Filament Carbon Fiber;1.92;538;Carbon
Toray T300 Carbon Fiber;1.76;230;Carbon
Toray T700S Carbon Fiber;1.80;230;Carbon
Toray T700G Carbon Fiber;1.80;240;Carbon
Toray T800H Carbon Fiber;1.81;294;Carbon
Toray T800S Carbon Fiber;1.80;294;Carbon
Toray T1000G Carbon Fiber;1.80;294;Carbon
Toray M35J Carbon Fiber;1.75;343;Carbon
Toray M40J Carbon Fiber;1.77;377;Carbon
Toray M46J Carbon Fiber;1.84;436;Carbon
Toray M55J Carbon Fiber;1.91;540;Carbon
Toray M60J Carbon Fiber;1.93;588;Carbon
Solvay THORNEL GPC-10 Pitch-Based Fiber;1.90;138;Carbon
Solvay THORNEL T-300 Pan-Based Fiber;1.76;231;Carbon
Solvay THORNEL T-650/35 Pan-Based Fiber;1.77;255;Carbon
Solvay THORNEL VMX-24 Pitch-Based Fiber;1.90;138;Carbon
Toray T1100G Carbon Fiber;1.79;324;Carbon
Diamond, Natural;3.51 - 3.52;700 - 1200;Carbon
Diamond, Synthetic;3.20 - 3.52;800 - 925;Carbon
Diamond, Polycrystalline;3.00 - 4.00;749 - 953;Carbon
Graphite, Carbon, C;2.25;4.80;Carbon
Pyrolytic Graphite, Low Temperature Isotropic (LTI);1.30 - 2.00;17.0 - 28.0;Carbon
Momentive Performance Materials Pyrolytic Graphite (PG) Coating;2.20;20.0;Carbon
Pyrotek ISOFLOW Graphite Rings Graphite Rings for Billet Casting Molds;1.70 - 1.75;10.5 - 11.2;Carbon
SGL Carbon Group EK 10 Carbon Graphite;1.66;15.9;Carbon
SGL Carbon Group EK 17 Carbon Graphite;1.66;30.3;Carbon
SGL Carbon Group EK 20 Carbon Graphite;1.70;22.1;Carbon
SGL Carbon Group EK 2200 Carbon Graphite;1.82;26.9;Carbon
SGL Carbon Group EK 2201 Carbon Graphite;1.82;26.9;Carbon
SGL Carbon Group EK 2203 Carbon Graphite;1.80;24.8;Carbon
SGL Carbon Group EK 2209 Carbon Graphite;1.77;26.2;Carbon
SGL Carbon Group EK 3205 Carbon Graphite;2.25;30.3;Carbon
SGL Carbon Group EK 2230 Carbon Graphite;1.85;22.1;Carbon
SGL Carbon Group EK 2239 Carbon Graphite;1.80;20.0;Carbon
SGL Carbon Group EK 3235 Carbon Graphite;2.60;30.3;Carbon
SGL Carbon Group EK 24 Carbon Graphite;1.70;17.9;Carbon
SGL Carbon Group EK 2240 Carbon Graphite;1.81;19.3;Carbon
SGL Carbon Group EK 2241 Carbon Graphite;1.81;19.3;Carbon
SGL Carbon Group EK 2243 Carbon Graphite;1.79;17.9;Carbon
SGL Carbon Group EK 3245 Carbon Graphite;2.20;24.1;Carbon
SGL Carbon Group EK 40 Graphite;1.68;8.96;Carbon
SGL Carbon Group EK 200 Graphite;1.82;13.8;Carbon
SGL Carbon Group EK 201 Graphite;1.82;13.8;Carbon
SGL Carbon Group EK 203 Graphite;1.80;11.7;Carbon
SGL Carbon Group EK 204 Graphite;1.78;13.1;Carbon
SGL Carbon Group EK 305 Graphite;2.55;20.7;Carbon
SGL Carbon Group V 1626 Graphite;1.85;13.8;Carbon
Solvay Thornel Graphite Cloth;1.40;13.0;Carbon
Barium Boride, BaB6;4.35;385;Ceramic
Calcium Boride, CaB6;2.43;451;Ceramic
Cerium Boride, CeB6;4.79;379;Ceramic
CoorsTek Cercom PAD TIB2 Pressure Assisted Densification Titanium Diboride;4.48;555;Ceramic
3M Techical Ceramics Titanium Diboride;4.50;575;Ceramic
Goodfellow Titanium Diboride, TiB2;4.50;520 - 570;Ceramic
Chromium Carbide, Cr3C2;6.66 - 6.68;373 - 386;Ceramic
Hafnium Carbide, HfC;12.2 - 12.8;352;Ceramic
Molybdenum Carbide, Mo2C;8.20 - 9.18;227 - 553;Ceramic
Niobium Carbide, NbC;7.60 - 7.82;330 - 537;Ceramic
Silicon Carbide, CVD;3.10;420;Ceramic
Silicon Carbide, Alpha SiC;3.10 - 3.21;410;Ceramic
Silicon Carbide, sublimed;3.19;459 - 476;Ceramic
Silicon Carbide, Reaction-Bonded, SiSiC;2.90 - 3.10;350 - 400;Ceramic
Tantalum Carbide, TaC;14.3;241 - 722;Ceramic
Titanium Carbide, TiC;4.94;448 - 451;Ceramic
Vanadium Carbide, VC;5.71;268 - 420;Ceramic
Tungsten Carbide, W2C;14.8;420;Ceramic
Tungsten Carbide, WC;15.7;669 - 696;Ceramic
Zirconium Carbide, ZrC;6.56 - 6.73;345 - 406;Ceramic
ERG Aerospace Duocel Silicon Carbide Foam;0.161 - 0.385;2.76 - 6.89;Ceramic
CeramTec CD 110 Silicon Carbide, SSiC;3.10;415;Ceramic
CeramTec Rocar SiG Silicon Carbide, SiSiC;3.07;380;Ceramic
CeramTec Rocar ST Silicon Carbide, SSiC;3.11;420;Ceramic
CeramTec CD 101 Silicon Carbide, SiC-ZrB2;3.26;415;Ceramic
CeramTec Rocar S Silicon Carbide, SSiC;3.15;430;Ceramic
CeramTec Rocar SiF Silicon Carbide, SiSiC;3.07;395;Ceramic
COI Ceramics Nicalon™ CG SiCO Ceramic Fiber;2.55;210;Ceramic
COI Ceramics Nicalon™ HRV SiCO Ceramic Fiber;2.32;180;Ceramic
COI Ceramics Nicalon™ HI SiC Low O Ceramic Fiber;2.74;270;Ceramic
COI Ceramics Nicalon™ HI Type S SiC Ceramic Fiber;3.10;420;Ceramic
COI Ceramics Sylramic™ Crystalline Silicon Carbide (SiC) Fiber;2.95 - 3.10;310 - 420;Ceramic
CoorsTek HPB4C Hot Pressed Boron Carbide;2.50;460;Ceramic
CoorsTek UltraSiC™ SC-90 Plus Silicon Carbide (SiC);3.15;410;Ceramic
CoorsTek UltraSiC™ LP SC-52 Silicon Carbide (SiC);3.22;375;Ceramic
CoorsTek SN102 Sinter-HIP Silicon Nitride;3.23;290;Ceramic
CoorsTek CeraSiC -B Direct Sintered Silicon Carbide;3.01;420;Ceramic
CoorsTek UltraSiC™ GI (SC-35) Graphite Direct Sintered Silicon Carbide;2.90;310;Ceramic
CoorsTek UltraSiC™ LP (SC-51) Liquid Phase Sintered Silicon Carbide;3.22;420;Ceramic
CoorsTek Cercom PAD B4C Pressure Assisted Densification Boron Carbide;2.49;430;Ceramic
CoorsTek Cercom PAD SIC-B4C Pressure Assisted Densification SiC with Boron Carbide;3.05;450;Ceramic
CoorsTek Cercom PAD SIC-N Pressure Assisted Densification Silicon Carbide;3.20;460;Ceramic
CoorsTek Cercom PAD SIC X-1 Pressure Assisted Densification BallisticGrade Silicon Carbide;3.23;455;Ceramic
CoorsTek Cercom PAD B4C-SIC Pressure Assisted Densification Boron Carbide w/ Silicon Carbide;2.63;455;Ceramic
CoorsTek UltraSiC™ S (SC-90) Direct Sintered Silicon Carbide;3.15;410;Ceramic
CoorsTek UltraSiC™ HD Direct Sintered Silicon Carbide;3.15;410;Ceramic
CoorsTek ACI-Ni6 Tungsten Carbide;14.9;607;Ceramic
CoorsTek ACI-Ni10 Tungsten Carbide;14.4;572;Ceramic
CoorsTek ACI-Co6 Tungsten Carbide;14.9;627;Ceramic
CoorsTek ACI-Co10 Tungsten Carbide;14.5;593;Ceramic
CoorsTek RB B4C Reaction-Bonded Boron Carbide;2.65;379;Ceramic
3M Techical Ceramics Ekasic C Silicone Carbide;3.15;440;Ceramic
3M Techical Ceramics Ekasic F Silicone Carbide;3.15;430;Ceramic
3M Techical Ceramics Ekasic T Silicone Carbide;3.21;420;Ceramic
3M Techical Ceramics Boron Carbide Powder;2.48;420;Ceramic
3M Techical Ceramics Ekasic F Plus Silicon Carbide;3.18;430;Ceramic
3M Techical Ceramics Ekasic P Silicon Carbide;2.76 - 2.89;340;Ceramic
3M Techical Ceramics Ekasic G Silicon Carbide;3.02;390;Ceramic
3M Techical Ceramics Ekasic T Plus Silicon Carbide;3.24;430;Ceramic
3M Techical Ceramics Ekasic S Silicon Nitride;3.24;300;Ceramic
3M Techical Ceramics Ekatherm Silicon Nitride;3.24;300;Ceramic
3M Techical Ceramics MYCROSINT HD Boron Nitride;1.96;23.0;Ceramic
3M Techical Ceramics MYCROSINT S Boron Nitride;2.07;30.0 - 35.0;Ceramic
3M Techical Ceramics MYCROSINT CD Boron Nitride;1.97;25.0 - 30.0;Ceramic
3M Techical Ceramics MYCROSINT SO 20 Boron Nitride;2.30;20.0 - 35.0;Ceramic
3M Techical Ceramics MYCROSINT SO 43 Boron Nitride;2.92;30.0 - 45.0;Ceramic
3M Techical Ceramics MYCROSINT O 40 Boron Nitride;2.82;25.0 - 45.0;Ceramic
Goodfellow Tungsten Carbide/Cobalt;14.9;600;Ceramic
Goodfellow Hot Pressed Boron Carbide B4C;2.45 - 2.52;440 - 470;Ceramic
Goodfellow Hot Pressed Silicon Carbide SiC;3.15;200 - 500;Ceramic
Goodfellow Reaction Bonded Silicon Carbide SiC;3.10;410;Ceramic
Poco Graphite SUPERSiC 3C Silicon Carbide;3.15;216;Ceramic
Poco Graphite SUPERSiC 3CX Silicon Carbide;3.15;216;Ceramic
Poco Graphite SUPERSiC Si-3C Silicon Carbide;3.03;338;Ceramic
Poco Graphite SUPERSiC Si-8C Silicon Carbide;3.03;338;Ceramic
Pyrotek Pinnacle Thermocouple Protection Tubes O'-Sialon (Bonded Silicon Carbide) TCPT;2.60;0.0780;Ceramic
Schunk CarSIK NT Silicon Carbide;3.09;360;Ceramic
Schunk CarSIK CT Silicon Carbide;2.90;260;Ceramic
Schunk CarSIK SD Silicon Carbide;3.10;400;Ceramic
Thermal Transfer Composites PRIMEX™ MCX-693™ Aluminum Silicon Carbide Composite, Reinforced;2.98;255;Ceramic
Thermal Transfer Composites PRIMEX™ MCX-703™ Aluminum Silicon Carbide Composite, Reinforced;3.00;240;Ceramic
Thermal Transfer Composites PRIMEX™ MCX724™ Aluminum Silicon Carbide Composite, Reinforced;2.94;235;Ceramic
Thermal Transfer Composites PRIMEX ULTRA™ MCT-587™ Aluminum Silicon Carbide Composite, Reinforced;3.01;270;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1195™ Aluminum Silicon Carbide Composite, Reinforced;2.87;151;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1405™ Aluminum Silicon Carbide Composite, Reinforced;2.80;125;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1605™ Aluminum Silicon Carbide Composite, Reinforced;2.77;106;Ceramic
CoorsTek Reaction Bonded Silicon Carbide, SCRB (SC-2);3.10;393;Ceramic
CoorsTek UltraSiC™ SC-30 Direct Sintered Silicon Carbide;3.15;410;Ceramic
CoorsTek SC-DSG (SC-35) Graphite Loaded Sintered Silicon Carbide;2.80;310;Ceramic
CoorsTek SC-DSLP (SC-50) Liquid Phase Sintered Silicon Carbide;3.18;375;Ceramic
CoorsTek SC-BNL (SC-42) Loaded Reaction Bonded Silicon Carbide;2.90;150;Ceramic
CoorsTek Pure SiC™ HR CVD Silicon Carbide, > 99.9995%;3.21;462;Ceramic
CoorsTek Pure SiC™ LR CVD Silicon Carbide, > 99.9995%;3.21;434;Ceramic
CoorsTek Tungsten Carbide, WC;14.9;627;Ceramic
Acerde Silicon Carbide;3.21;420;Ceramic
Specialty Materials SCS-6 Silicon Carbide Monofilament;3.00;380;Ceramic
Specialty Materials SCS-Ultra™ Silicon Carbide Fiber;3.08;415;Ceramic
M Cubed Technologies ASC-701 Aluminum alloy-70% SiC Metal Matrix Composite;3.01;270;Ceramic
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;3.02;330;Ceramic
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;3.00;330;Ceramic
M Cubed Technologies SSC-702 Reaction-Bonded Silicon Carbide;3.00;350;Ceramic
M Cubed Technologies SSC-802 Reaction-Bonded Silicon Carbide;3.00;380;Ceramic
M Cubed Technologies SSC-903 Reaction-Bonded Silicon Carbide;3.01;360;Ceramic
M Cubed Technologies TSC-15 Titanium-alloyed Reaction Bonded Silicon Carbide;3.13;390;Ceramic
M Cubed Technologies RBBC-751 Reaction Bonded Boron Carbide;2.56;380;Ceramic
M Cubed Technologies ABC-501 Aluminum alloy-50% B4C Metal Matrix Composite;2.58;210;Ceramic
Solvay EF1812 Polycarbosilane Polymer, Pyrolized with T300 Carbon Fabric;2.00;26.4;Ceramic
Glass Fiber Reinforced Concrete;1.70 - 2.10;10.5 - 20.5;Ceramic
Concrete, Ceramic Dry;2.30;21.0 - 30.0;Ceramic
Concrete, Cinder;1.60;30.0;Ceramic
Concrete, Lightweight;0.950;30.0;Ceramic
Concrete, Heavyweight;4.00 - 6.50;30.0;Ceramic
Portland Cement;2.01;11.2;Ceramic
Portland Cement with Untreated Silica Fume;1.72;10.2;Ceramic
Portland Cement with Treated Silica Fume;1.73;11.5;Ceramic
Portland Cement with Untreated Silica Fume and Silane;1.97;10.9;Ceramic
Accuratus MACOR Machinable Glass Ceramic;2.52;66.9;Ceramic
Advanced Ceramics ACL 2088 Zinc Alumino-Silicate;3.10;84.0;Ceramic
Advanced Ceramics ZEMAT ACL 2090 - Zero Expansion Glass-Ceramic;2.53;89.6;Ceramic
Advanced Ceramics ACL 2087 Lithium Alumino-Silicate;2.40;82.7;Ceramic
Aremco AREMCOLOX™ 502-800 Macor Machinable Glass Ceramic, MGC;2.52;66.9;Ceramic
Corning Pyroceram Code 9606 Glass Ceramic;2.60;120;Ceramic
Corning Macor Machinable Glass Ceramic;2.52;66.9;Ceramic
Mateck Glass (BK7 Schott or analogous);2.51;81.0;Ceramic
Mateck Zero Expansion Glass - ZERODUR;2.53;91.0;Ceramic
Morgan Advanced Ceramics MACOR Mac-MGCW Technical Ceramic;2.52;68.0;Ceramic
Crystex Composites Mykroy/Mycalex MM 400 Machining Grade Glass-bonded Mica Composite;2.60;75.8;Ceramic
Crystex Composites Mykroy/Mycalex MM 500 Machining Grade Glass-bonded Mica Composite;2.70;82.7;Ceramic
Crystex Composites Mykroy/Mycalex MM 600 Machining Grade Glass-bonded Mica Composite;2.80;73.1;Ceramic
Crystex Composites Mykroy/Mycalex MM 800 Machining Grade Glass-bonded Mica Composite;2.74;79.3;Ceramic
Crystex Composites Mykroy/Mycalex MM 561 Molding Grade Glass-bonded Mica Composite;2.60;77.9;Ceramic
712-3 Nextrema Tinted Glass Ceramic/SCHOTT;2.55;92.0;Ceramic
712-6 Nextrema Translucent Blue-Grey Glass Ceramic/SCHOTT;2.51;86.0;Ceramic
712-8 Nextrema Opaque Grey Glass Ceramic/SCHOTT;2.52;84.0;Ceramic
724-3 Nextrema Transparent Glass Ceramic/SCHOTT;2.54;93.0;Ceramic
724-5 Nextrema Translucent White Glass Ceramic/SCHOTT;2.50;85.0;Ceramic
724-8 Nextrema Opaque White Glass Ceramic/SCHOTT;2.54;86.0;Ceramic
A-Glass Fiber, Generic;2.44;68.9;Ceramic
C-Glass Fiber, Generic;2.52 - 2.56;68.9;Ceramic
D-Glass Fiber, Generic;2.11;51.7;Ceramic
E-Glass Fiber, Generic;2.54 - 2.60;72.4;Ceramic
S-2 Glass Fiber;2.46;86.9;Ceramic
S-Glass Fiber, Generic;2.48 - 2.49;85.5 - 86.9;Ceramic
AR-Glass Fiber, Generic;2.70;73.1;Ceramic
E-CRGlas Fiber;2.72;72.3;Ceramic
R-Glass Fiber, Generic;2.54;85.5;Ceramic
Fiberglass Grade B;2.49;69.0;Ceramic
AGY ZenTron S-2 Generic S-Glass Fiber;2.46;86.9;Ceramic
AGY ADVANTEX Generic Glass Fiber;2.62;80.0;Ceramic
AGY VeTron Glass Fiber;2.50;86.0;Ceramic
