Name;Density (g/cc);E-Modul (GPa);Class
Teijin Tenax A HT P303 3mm Chopped carbon fiber;1.74;220;Carbon
Solvay Thornel T-300 1K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.76;231;Carbon
Solvay Thornel T-650/35 3K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.77;241;Carbon
Solvay Thornel T-650/35 12K Carbon Fiber, Polyacrylonitrile (PAN) Precursor;1.70;248;Carbon
Solvay Thornel P-25 2K Carbon Fiber, Pitch Precursor;1.90;160;Carbon
Toho Tenax Besfight MC Type I (3000 Filament) Nickel Coated Carbon Fiber;2.70;226;Carbon
Toho Tenax Besfight MC Type II (3000 Filament) Nickel Coated Carbon Fiber;3.40;216;Carbon
Toho Tenax Besfight STS 24K HTA-7C F301 Continuous Filament Carbon Fiber;1.75;240;Carbon
Toho Tenax Besfight G30-400 1K HTA-7W EP01 Continuous Filament Carbon Fiber;1.78;234;Carbon
Toho Tenax Besfight G30-500 3K HTA-7C EP03 Continuous Filament Carbon Fiber;1.75;234;Carbon
Toho Tenax Besfight G30-500 12K HTA-7C EP01 Continuous Filament Carbon Fiber;1.76;234;Carbon
Toho Tenax Besfight G30-500 12K HTA-7S F202 Continuous Filament Carbon Fiber;1.75;239;Carbon
Toho Tenax Besfight G30-700 12K HTA-7C EP03 Continuous Filament Carbon Fiber;1.78;241;Carbon
Toho Tenax Besfight G40-600 12K IMA-7C EP03 Continuous Filament Carbon Fiber;1.74;290;Carbon
Toho Tenax Besfight G40-800 6K IMA-5C EP03 Continuous Filament Carbon Fiber;1.79;286;Carbon
Toho Tenax Besfight G50-300 12K HMA-7C EP01 Continuous Filament Carbon Fiber;1.78;359;Carbon
Toho Tenax Besfight G55-700 24K HMA-5C A303 Continuous Filament Carbon Fiber;1.80;393;Carbon
Toho Tenax Besfight G60-600 12K UMA-5C A303 Continuous Filament Carbon Fiber;1.82;427;Carbon
Toho Tenax Besfight G80-600 12K UMA-5C F301 Continuous Filament Carbon Fiber;1.92;538;Carbon
Toray T300 Carbon Fiber;1.76;230;Carbon
Toray T700S Carbon Fiber;1.80;230;Carbon
Toray T800H Carbon Fiber;1.81;294;Carbon
Toray T800S Carbon Fiber;1.80;294;Carbon
Toray M35J Carbon Fiber;1.75;343;Carbon
Toray M40J Carbon Fiber;1.77;377;Carbon
Toray M46J Carbon Fiber;1.84;436;Carbon
Toray M55J Carbon Fiber;1.91;540;Carbon
Toray M60J Carbon Fiber;1.93;588;Carbon
Solvay THORNEL GPC-10 Pitch-Based Fiber;1.90;138;Carbon
Solvay THORNEL T-650/35 Pan-Based Fiber;1.77;255;Carbon
Toray T1100G Carbon Fiber;1.79;324;Carbon
Diamond, Natural;3.51;950.0;Carbon
Diamond, Synthetic;3.36;862.5;Carbon
Diamond, Polycrystalline;3.5;851.0;Carbon
Graphite, Carbon, C;2.25;4.80;Carbon
Pyrolytic Graphite, Low Temperature Isotropic (LTI);1.65;22.5;Carbon
Momentive Performance Materials Pyrolytic Graphite (PG) Coating;2.20;20.0;Carbon
Pyrotek ISOFLOW Graphite Rings Graphite Rings for Billet Casting Molds;1.73;10.85;Carbon
SGL Carbon Group EK 10 Carbon Graphite;1.66;15.9;Carbon
SGL Carbon Group EK 17 Carbon Graphite;1.66;30.3;Carbon
SGL Carbon Group EK 20 Carbon Graphite;1.70;22.1;Carbon
SGL Carbon Group EK 2200 Carbon Graphite;1.82;26.9;Carbon
SGL Carbon Group EK 2203 Carbon Graphite;1.80;24.8;Carbon
SGL Carbon Group EK 2209 Carbon Graphite;1.77;26.2;Carbon
SGL Carbon Group EK 3205 Carbon Graphite;2.25;30.3;Carbon
SGL Carbon Group EK 2230 Carbon Graphite;1.85;22.1;Carbon
SGL Carbon Group EK 2239 Carbon Graphite;1.80;20.0;Carbon
SGL Carbon Group EK 3235 Carbon Graphite;2.60;30.3;Carbon
SGL Carbon Group EK 24 Carbon Graphite;1.70;17.9;Carbon
SGL Carbon Group EK 2240 Carbon Graphite;1.81;19.3;Carbon
SGL Carbon Group EK 2243 Carbon Graphite;1.79;17.9;Carbon
SGL Carbon Group EK 3245 Carbon Graphite;2.20;24.1;Carbon
SGL Carbon Group EK 40 Graphite;1.68;8.96;Carbon
SGL Carbon Group EK 200 Graphite;1.82;13.8;Carbon
SGL Carbon Group EK 203 Graphite;1.80;11.7;Carbon
SGL Carbon Group EK 204 Graphite;1.78;13.1;Carbon
SGL Carbon Group EK 305 Graphite;2.55;20.7;Carbon
SGL Carbon Group V 1626 Graphite;1.85;13.8;Carbon
Barium Boride, BaB6;4.35;385;Ceramic
Calcium Boride, CaB6;2.43;451;Ceramic
Cerium Boride, CeB6;4.79;379;Ceramic
CoorsTek Cercom PAD TIB2 Pressure Assisted Densification Titanium Diboride;4.48;555;Ceramic
3M Techical Ceramics Titanium Diboride;4.50;575;Ceramic
Goodfellow Titanium Diboride, TiB2;4.50;545.0;Ceramic
Chromium Carbide, Cr3C2;6.67;379.5;Ceramic
Hafnium Carbide, HfC;12.5;352;Ceramic
Molybdenum Carbide, Mo2C;8.69;390.0;Ceramic
Niobium Carbide, NbC;7.71;433.5;Ceramic
Silicon Carbide, CVD;3.10;420;Ceramic
Silicon Carbide, Alpha SiC;3.16;410;Ceramic
Silicon Carbide, sublimed;3.19;467.5;Ceramic
Silicon Carbide, Reaction-Bonded, SiSiC;3.0;375.0;Ceramic
Tantalum Carbide, TaC;14.3;481.5;Ceramic
Titanium Carbide, TiC;4.94;449.5;Ceramic
Vanadium Carbide, VC;5.71;344.0;Ceramic
Tungsten Carbide, W2C;14.8;420;Ceramic
Tungsten Carbide, WC;15.7;682.5;Ceramic
Zirconium Carbide, ZrC;6.64;375.5;Ceramic
ERG Aerospace Duocel Silicon Carbide Foam;0.27;4.82;Ceramic
CeramTec CD 110 Silicon Carbide, SSiC;3.10;415;Ceramic
CeramTec Rocar SiG Silicon Carbide, SiSiC;3.07;380;Ceramic
CeramTec Rocar ST Silicon Carbide, SSiC;3.11;420;Ceramic
CeramTec CD 101 Silicon Carbide, SiC-ZrB2;3.26;415;Ceramic
CeramTec Rocar S Silicon Carbide, SSiC;3.15;430;Ceramic
CeramTec Rocar SiF Silicon Carbide, SiSiC;3.07;395;Ceramic
COI Ceramics Nicalon™ CG SiCO Ceramic Fiber;2.55;210;Ceramic
COI Ceramics Nicalon™ HRV SiCO Ceramic Fiber;2.32;180;Ceramic
COI Ceramics Nicalon™ HI SiC Low O Ceramic Fiber;2.74;270;Ceramic
COI Ceramics Sylramic™ Crystalline Silicon Carbide (SiC) Fiber;3.03;365.0;Ceramic
CoorsTek HPB4C Hot Pressed Boron Carbide;2.50;460;Ceramic
CoorsTek UltraSiC™ SC-90 Plus Silicon Carbide (SiC);3.15;410;Ceramic
CoorsTek UltraSiC™ LP SC-52 Silicon Carbide (SiC);3.22;375;Ceramic
CoorsTek SN102 Sinter-HIP Silicon Nitride;3.23;290;Ceramic
CoorsTek CeraSiC -B Direct Sintered Silicon Carbide;3.01;420;Ceramic
CoorsTek UltraSiC™ GI (SC-35) Graphite Direct Sintered Silicon Carbide;2.90;310;Ceramic
CoorsTek Cercom PAD B4C Pressure Assisted Densification Boron Carbide;2.49;430;Ceramic
CoorsTek Cercom PAD SIC-B4C Pressure Assisted Densification SiC with Boron Carbide;3.05;450;Ceramic
CoorsTek Cercom PAD SIC-N Pressure Assisted Densification Silicon Carbide;3.20;460;Ceramic
CoorsTek Cercom PAD SIC X-1 Pressure Assisted Densification BallisticGrade Silicon Carbide;3.23;455;Ceramic
CoorsTek Cercom PAD B4C-SIC Pressure Assisted Densification Boron Carbide w/ Silicon Carbide;2.63;455;Ceramic
CoorsTek ACI-Ni6 Tungsten Carbide;14.9;607;Ceramic
CoorsTek ACI-Ni10 Tungsten Carbide;14.4;572;Ceramic
CoorsTek ACI-Co6 Tungsten Carbide;14.9;627;Ceramic
CoorsTek ACI-Co10 Tungsten Carbide;14.5;593;Ceramic
CoorsTek RB B4C Reaction-Bonded Boron Carbide;2.65;379;Ceramic
3M Techical Ceramics Ekasic C Silicone Carbide;3.15;440;Ceramic
3M Techical Ceramics Ekasic T Silicone Carbide;3.21;420;Ceramic
3M Techical Ceramics Boron Carbide Powder;2.48;420;Ceramic
3M Techical Ceramics Ekasic F Plus Silicon Carbide;3.18;430;Ceramic
3M Techical Ceramics Ekasic P Silicon Carbide;2.83;340;Ceramic
3M Techical Ceramics Ekasic G Silicon Carbide;3.02;390;Ceramic
3M Techical Ceramics Ekasic T Plus Silicon Carbide;3.24;430;Ceramic
3M Techical Ceramics Ekasic S Silicon Nitride;3.24;300;Ceramic
3M Techical Ceramics MYCROSINT HD Boron Nitride;1.96;23.0;Ceramic
3M Techical Ceramics MYCROSINT S Boron Nitride;2.07;32.5;Ceramic
3M Techical Ceramics MYCROSINT CD Boron Nitride;1.97;27.5;Ceramic
3M Techical Ceramics MYCROSINT SO 20 Boron Nitride;2.30;27.5;Ceramic
3M Techical Ceramics MYCROSINT SO 43 Boron Nitride;2.92;37.5;Ceramic
3M Techical Ceramics MYCROSINT O 40 Boron Nitride;2.82;35.0;Ceramic
Goodfellow Tungsten Carbide/Cobalt;14.9;600;Ceramic
Goodfellow Hot Pressed Boron Carbide B4C;2.49;455.0;Ceramic
Goodfellow Hot Pressed Silicon Carbide SiC;3.15;350.0;Ceramic
Goodfellow Reaction Bonded Silicon Carbide SiC;3.10;410;Ceramic
Poco Graphite SUPERSiC 3C Silicon Carbide;3.15;216;Ceramic
Poco Graphite SUPERSiC Si-3C Silicon Carbide;3.03;338;Ceramic
Pyrotek Pinnacle Thermocouple Protection Tubes O'-Sialon (Bonded Silicon Carbide) TCPT;2.60;0.0780;Ceramic
Schunk CarSIK NT Silicon Carbide;3.09;360;Ceramic
Schunk CarSIK CT Silicon Carbide;2.90;260;Ceramic
Schunk CarSIK SD Silicon Carbide;3.10;400;Ceramic
Thermal Transfer Composites PRIMEX™ MCX-693™ Aluminum Silicon Carbide Composite, Reinforced;2.98;255;Ceramic
Thermal Transfer Composites PRIMEX™ MCX-703™ Aluminum Silicon Carbide Composite, Reinforced;3.00;240;Ceramic
Thermal Transfer Composites PRIMEX™ MCX724™ Aluminum Silicon Carbide Composite, Reinforced;2.94;235;Ceramic
Thermal Transfer Composites PRIMEX ULTRA™ MCT-587™ Aluminum Silicon Carbide Composite, Reinforced;3.01;270;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1195™ Aluminum Silicon Carbide Composite, Reinforced;2.87;151;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1405™ Aluminum Silicon Carbide Composite, Reinforced;2.80;125;Ceramic
Thermal Transfer Composites PRIMEX Cast™ MCX-1605™ Aluminum Silicon Carbide Composite, Reinforced;2.77;106;Ceramic
CoorsTek Reaction Bonded Silicon Carbide, SCRB (SC-2);3.10;393;Ceramic
CoorsTek SC-DSG (SC-35) Graphite Loaded Sintered Silicon Carbide;2.80;310;Ceramic
CoorsTek SC-BNL (SC-42) Loaded Reaction Bonded Silicon Carbide;2.90;150;Ceramic
CoorsTek Pure SiC™ HR CVD Silicon Carbide, > 99.9995%;3.21;462;Ceramic
CoorsTek Pure SiC™ LR CVD Silicon Carbide, > 99.9995%;3.21;434;Ceramic
Specialty Materials SCS-6 Silicon Carbide Monofilament;3.00;380;Ceramic
Specialty Materials SCS-Ultra™ Silicon Carbide Fiber;3.08;415;Ceramic
M Cubed Technologies HSC-702 Aluminum-toughened Reaction Bonded Silicon Carbide;3.02;330;Ceramic
M Cubed Technologies SSC-FG Reaction-Bonded Silicon Carbide, Fine-Grained;3.00;330;Ceramic
M Cubed Technologies SSC-702 Reaction-Bonded Silicon Carbide;3.00;350;Ceramic
M Cubed Technologies SSC-903 Reaction-Bonded Silicon Carbide;3.01;360;Ceramic
M Cubed Technologies TSC-15 Titanium-alloyed Reaction Bonded Silicon Carbide;3.13;390;Ceramic
M Cubed Technologies RBBC-751 Reaction Bonded Boron Carbide;2.56;380;Ceramic
M Cubed Technologies ABC-501 Aluminum alloy-50% B4C Metal Matrix Composite;2.58;210;Ceramic
Solvay EF1812 Polycarbosilane Polymer, Pyrolized with T300 Carbon Fabric;2.00;26.4;Ceramic
Glass Fiber Reinforced Concrete;1.9;15.5;Ceramic
Concrete, Ceramic Dry;2.30;25.5;Ceramic
Concrete, Cinder;1.60;30.0;Ceramic
Concrete, Lightweight;0.950;30.0;Ceramic
Concrete, Heavyweight;5.25;30.0;Ceramic
Portland Cement;2.01;11.2;Ceramic
Portland Cement with Untreated Silica Fume;1.72;10.2;Ceramic
Portland Cement with Treated Silica Fume;1.73;11.5;Ceramic
Portland Cement with Untreated Silica Fume and Silane;1.97;10.9;Ceramic
Accuratus MACOR Machinable Glass Ceramic;2.52;66.9;Ceramic
Advanced Ceramics ACL 2088 Zinc Alumino-Silicate;3.10;84.0;Ceramic
Advanced Ceramics ZEMAT ACL 2090 - Zero Expansion Glass-Ceramic;2.53;89.6;Ceramic
Advanced Ceramics ACL 2087 Lithium Alumino-Silicate;2.40;82.7;Ceramic
Corning Pyroceram Code 9606 Glass Ceramic;2.60;120;Ceramic
Mateck Glass (BK7 Schott or analogous);2.51;81.0;Ceramic
Mateck Zero Expansion Glass - ZERODUR;2.53;91.0;Ceramic
Morgan Advanced Ceramics MACOR Mac-MGCW Technical Ceramic;2.52;68.0;Ceramic
Crystex Composites Mykroy/Mycalex MM 400 Machining Grade Glass-bonded Mica Composite;2.60;75.8;Ceramic
Crystex Composites Mykroy/Mycalex MM 500 Machining Grade Glass-bonded Mica Composite;2.70;82.7;Ceramic
Crystex Composites Mykroy/Mycalex MM 600 Machining Grade Glass-bonded Mica Composite;2.80;73.1;Ceramic
Crystex Composites Mykroy/Mycalex MM 800 Machining Grade Glass-bonded Mica Composite;2.74;79.3;Ceramic
Crystex Composites Mykroy/Mycalex MM 561 Molding Grade Glass-bonded Mica Composite;2.60;77.9;Ceramic
712-3 Nextrema Tinted Glass Ceramic/SCHOTT;2.55;92.0;Ceramic
712-6 Nextrema Translucent Blue-Grey Glass Ceramic/SCHOTT;2.51;86.0;Ceramic
712-8 Nextrema Opaque Grey Glass Ceramic/SCHOTT;2.52;84.0;Ceramic
724-3 Nextrema Transparent Glass Ceramic/SCHOTT;2.54;93.0;Ceramic
724-5 Nextrema Translucent White Glass Ceramic/SCHOTT;2.50;85.0;Ceramic
724-8 Nextrema Opaque White Glass Ceramic/SCHOTT;2.54;86.0;Ceramic
A-Glass Fiber, Generic;2.44;68.9;Ceramic
C-Glass Fiber, Generic;2.54;68.9;Ceramic
D-Glass Fiber, Generic;2.11;51.7;Ceramic
E-Glass Fiber, Generic;2.57;72.4;Ceramic
S-2 Glass Fiber;2.46;86.9;Ceramic
S-Glass Fiber, Generic;2.49;86.2;Ceramic
AR-Glass Fiber, Generic;2.70;73.1;Ceramic
E-CRGlas Fiber;2.72;72.3;Ceramic
R-Glass Fiber, Generic;2.54;85.5;Ceramic
Fiberglass Grade B;2.49;69.0;Ceramic
AGY ADVANTEX Generic Glass Fiber;2.62;80.0;Ceramic
AGY VeTron Glass Fiber;2.50;86.0;Ceramic
Saint-Gobain Quartzel Fused Quartz Textiles;2.20;78.0;Ceramic
Corning 7056 Alkali Borosilicate Crushed/Powdered Glass;2.29;62.8;Ceramic
Corning HPFS 7979 IR Grade High Purity Fused Silica;2.20;73.0;Ceramic
Corning 9754 Clear Germanate IR Transmitting Glass;3.51;84.0;Ceramic
Corning Gorilla Glass 3 Touch Screen Glass with NDR;2.39;69.3;Ceramic
Corning Gorilla Glass 5 Display Glass;2.43;76.7;Ceramic
Corning Gorilla Glass 6 Display Glass;2.40;77.0;Ceramic
Corning Large Cover Gorilla Glass Touch Screen Glass;2.44;71.7;Ceramic
Corning Polarcor™ Glass Polarizer, 633 nm Nominal Wavelength;2.41;58.6;Ceramic
Corning TSG Titania Silicate Low Expansion Glass;2.21;67.6;Ceramic
Corning Iris™ Display Glass;2.40;68.0;Ceramic
Corning Lotus™ NXT Display Glass;2.59;83.0;Ceramic
Corning Astra™ Alkaline Earth Boro-Aluminosilicate Display Glass;2.52;81.0;Ceramic
Corning Eagle XG Slim Display Glass;2.38;73.6;Ceramic
Corning Willow Flexible Display Glass;2.4;75.0;Ceramic
Goodfellow Vycor 7913 Glass;2.18;70.0;Ceramic
Schott AF 45 Thin Borosilicate Glass;2.72;66.0;Ceramic
Schott BOROFLOAT Borosilicate Float Glass;2.23;63.0;Ceramic
Schott D 263 Thin Borosilicate Glass;2.51;72.9;Ceramic
Schott BAFN6 5899485.317, Optical Glass;3.17;77.0;Ceramic
Schott BK7G18 520636.252, Optical Glass;2.52;82.0;Ceramic
Schott F2G12 621366.360, Optical Glass;3.60;58.0;Ceramic
Schott FK3 464658.227, Optical Glass;2.27;46.0;Ceramic
Schott K5G20 523568.259, Optical Glass;2.59;68.0;Ceramic
Schott LAK9G15 691548.353, Optical Glass;3.53;108;Ceramic
Schott LF5G15 584408.322, Optical Glass;3.22;60.0;Ceramic
Schott LF5G19 597399.330, Optical Glass;3.30;56.0;Ceramic
Schott N-BAF3 583466.297, Optical Glass;2.79;82.0;Ceramic
Schott N-LAF3 717480.414, Optical Glass;4.14;95.0;Ceramic
Schott N-PSK53 620635.360, Optical Glass;3.60;78.0;Ceramic
Schott N-SF19 667331.290, Optical Glass;2.90;88.0;Ceramic
Schott N-SF56 785261.328, Optical Glass;3.28;91.0;Ceramic
Schott N-SF64 706302.299, Optical Glass;2.99;88.0;Ceramic
Schott N-SK10 623570.364, Optical Glass;3.64;81.0;Ceramic
Schott N-SK15 623580.362, Optical Glass;3.62;84.0;Ceramic
Schott SF57HT 847238.551, Optical Glass;5.51;54.0;Ceramic
Schott SFL6 805254.337, Optical Glass;3.37;93.0;Ceramic
Schott SFL57 847236.355, Optical Glass;3.55;97.0;Ceramic
Schott FK5HTi 487705.245, Glass;2.45;62.0;Ceramic
Schott N-FK58 456909.365, Optical Glass;3.65;70.0;Ceramic
Schott N-BK7HT 517642.251, Optical Glass;2.51;82.0;Ceramic
Schott P-BK7 516641.243, Optical Glass;2.43;85.0;Ceramic
Schott N-BAK4HT 569560.305, Optical Glass;3.05;77.0;Ceramic
Schott N-SK2HT 607567.355, Optical Glass;3.55;78.0;Ceramic
Schott P-SK57Q1 586595.301, Optical Glass;3.01;93.0;Ceramic
Schott P-SK58A 589612.297, Optical Glass;2.97;97.0;Ceramic
Schott P-SK60 610579.308, Optical Glass;3.08;99.0;Ceramic
Schott N-LAK33B 755523.422, Optical Glass;4.22;122;Ceramic
Schott P-LAK35 693532.385, Optical Glass;3.85;101;Ceramic
Schott LLF1HTi 548459.294, Optical Glass;2.94;60.0;Ceramic
Schott LF5HTi 581409.322, Optical Glass;3.22;59.0;Ceramic
Schott P-LAF37 755457.399, Optical Glass;3.99;115;Ceramic
Schott LASF35 022291.541, Optical Glass;5.41;132;Ceramic
Schott N-LASF9HT 850322.441, Optical Glass;4.41;109;Ceramic
Schott N-LASF45HT 801350.363, Optical Glass;3.63;116;Ceramic
Schott N-LASF46B 904313.451, Optical Glass;4.51;121;Ceramic
Schott P-LASF50 809405.454, Optical Glass;4.54;119;Ceramic
Schott P-LASF51 8104909.458, Optical Glass;4.58;119;Ceramic
Schott N-SF57HTultra 847238.353, Optical Glass;3.53;96.0;Ceramic
Schott P-SF68 005210.619, Optical Glass;6.19;79.0;Ceramic
Schott P-SF69 723292.293, Optical Glass;2.93;96.0;Ceramic
Schott SF11 785258.474, Optical Glass;4.74;66.0;Ceramic
Schott N-KZFS11 638424.320, Optical Glass;3.20;79.0;Ceramic
Schott N-KZFS4HT 613445.300, Optical Glass;3.00;78.0;Ceramic
Schott S7010N Plassive Glasses Laser Cavity Material;2.83;78.0;Ceramic
Schott IRG 22 Infrared Chalcogenide Glass;4.41;21.5;Ceramic
Schott IRG 23 Infrared Chalcogenide Glass;4.84;22.0;Ceramic
Schott IRG 24 Infrared Chalcogenide Glass;4.47;20.5;Ceramic
Schott IRG 25 Infrared Chalcogenide Glass;4.66;22.1;Ceramic
Schott IRG 26 Infrared Chalcogenide Glass;4.63;18.3;Ceramic
Schott IOG-1 Phosphate Laser Glass;2.74;61.2;Ceramic
Schott IOG-2 Phosphate Laser Glass;2.72;54.0;Ceramic
Schott IOG-10 Phosphate Laser Glass;2.71;71.0;Ceramic
Schott LG-680 Silicate Laser Glass;2.54;90.1;Ceramic
Schott LG-750 Phosphate Laser Glass;2.83;50.1;Ceramic
Schott LG-760 Phosphate Laser Glass;2.60;53.7;Ceramic
Schott LG-770 Phosphate Laser Glass;2.59;47.3;Ceramic
Schott LG-940 Phosphate Laser Glass;3.04;57.6;Ceramic
Schott AF 32 eco Ultra-Thin Glass;2.43;74.8;Ceramic
Schott ZERODUR Glass Ceramic;2.53;90.3;Ceramic
Schott ZERODUR K20 Glass Ceramic;2.53;84.7;Ceramic
Ohara L-BAL35P Low Softening Temperature Optical Glass;2.82;1010;Ceramic
Ohara L-BAL42P Low Softening Temperature Optical Glass;3.05;891;Ceramic
Ohara L-LAH94 Low Softening Temperature Optical Glass;4.89;1120;Ceramic
Ohara L-LAL15 Low Softening Temperature Optical Glass;3.66;1100;Ceramic
Ohara L-TIM28P Low Softening Temperature Optical Glass;2.88;845;Ceramic
Ohara S-FPM 2 Optical Glass;4.17;757;Ceramic
Ohara S-FPM 3 Optical Glass;3.64;806;Ceramic
Ohara S-FPM 4 Optical Glass;3.76;747;Ceramic
Ohara S-FPM 5 Optical Glass;3.74;769;Ceramic
Ohara S-LAH52Q Optical Glass;4.47;1100;Ceramic
Ohara S-LAH53V Optical Glass;4.41;1140;Ceramic
Ohara S-LAH55VS Optical Glass;4.58;1220;Ceramic
Ohara S-LAH60MQ Optical Glass;4.71;953;Ceramic
Ohara S-LAH60V Optical Glass;4.43;1110;Ceramic
Ohara S-LAH63Q Optical Glass;4.45;1030;Ceramic
Ohara S-LAH65VS Optical Glass;4.46;1220;Ceramic
Ohara S-LAH93 Optical Glass;4.83;1250;Ceramic
Ohara S-LAH95 Optical Glass;4.64;1180;Ceramic
Ohara S-LAH96 Optical Glass;4.54;1190;Ceramic
Ohara S-LAH97 Optical Glass;4.17;1210;Ceramic
Ohara S-LAH98 Optical Glass;4.94;1290;Ceramic
Ohara S-LAL 7Q Optical Glass;3.24;1110;Ceramic
Ohara S-LAL12Q Optical Glass;3.59;1070;Ceramic
Ohara S-LAL19 Optical Glass;3.98;1200;Ceramic
Ohara S-LAL20 Optical Glass;4.38;787;Ceramic
Ohara S-LAL21 Optical Glass;3.85;1130;Ceramic
Ohara S-LAL54Q Optical Glass;3.36;1020;Ceramic
Ohara S-LAM73 Optical Glass;4.45;868;Ceramic
Ohara S-NBH52V Optical Glass;3.01;963;Ceramic
Ohara S-NBH53V Optical Glass;3.19;1030;Ceramic
Ohara S-NBH58 Optical Glass;3.33;1050;Ceramic
Ohara S-NPH 1W Optical Glass;3.29;893;Ceramic
Ohara S-NPH 7 Optical Glass;3.30;753;Ceramic
Ohara S-PHM52Q Optical Glass;3.51;840;Ceramic
Ohara S-TIH57 Optical Glass;4.20;1170;Ceramic
Ohara BAL15Y i-Line Optical Glass;2.90;78.3;Ceramic
Ohara BAL35Y i-Line Optical Glass;3.23;88.1;Ceramic
Ohara BSL7Y i-Line Optical Glass;2.50;81.1;Ceramic
Ohara BSM51Y i-Line Optical Glass;3.36;90.1;Ceramic
Ohara L-BAL35 Low Tg Optical Glass;2.82;101;Ceramic
Ohara L-BAL42 Low Tg Optical Glass;3.05;89.1;Ceramic
Ohara L-BAL43 Low Tg Optical Glass;3.05;90.4;Ceramic
Ohara L-BBH1 Low Tg Optical Glass;6.57;68.8;Ceramic
Ohara L-BBH2 Low Tg Optical Glass;6.74;75.0;Ceramic
Ohara L-BSL 7 Low Tg Optical Glass;2.38;79.3;Ceramic
Ohara L-LAH53 Low Tg Optical Glass;4.49;115;Ceramic
Ohara L-LAH81 Low Tg Optical Glass;4.53;113;Ceramic
Ohara L-LAH83 Low Tg Optical Glass;5.29;127;Ceramic
Ohara L-LAH84 Low Tg Optical Glass;4.62;112;Ceramic
Ohara L-LAH85 Low Tg Optical Glass;5.09;126;Ceramic
Ohara L-LAH86 Low Tg Optical Glass;4.90;109;Ceramic
Ohara L-LAH87 Low Tg Optical Glass;4.34;115;Ceramic
Ohara L-LAH90 Low Tg Optical Glass;4.65;115;Ceramic
Ohara L-LAH91 Low Tg Optical Glass;4.29;114;Ceramic
Ohara L-LAL12 Low Tg Optical Glass;3.48;110;Ceramic
Ohara L-LAL13 Low Tg Optical Glass;3.69;108;Ceramic
